;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000022211_90_90;ENST00000367635_90_90:ENST00000367634_90_90:ENSMUST00000189316_90_90;0.7829999999999999:0.773:0.387
1;ENST00000324778_90_90;ENSMUST00000190762_90_90:ENSMUST00000192343_90_90;0.5710000000000001:0.375
2;ENST00000367632_90_90;;
3;ENST00000367634_90_90;ENSCAFT00000022211_90_90:ENST00000367635_90_90:ENSMUST00000189316_90_90;0.773:0.909:0.419
4;ENST00000367635_90_90;ENSCAFT00000022211_90_90:ENST00000367634_90_90:ENSMUST00000189316_90_90;0.7829999999999999:0.909:0.39399999999999996
5;ENST00000415888_90_90;ENSMUST00000190648_90_90:ENSMUST00000188656_90_90;0.368:0.35
6;ENSMUST00000027886_90_90;;
7;ENSMUST00000063199_90_90;ENSMUST00000191605_90_90:ENSMUST00000171292_90_90;1.0:1.0
8;ENSMUST00000171292_90_90;ENSMUST00000191605_90_90:ENSMUST00000063199_90_90;1.0:1.0
9;ENSMUST00000172057_90_90;;
10;ENSMUST00000185198_90_90;;
11;ENSMUST00000188656_90_90;ENSMUST00000190648_90_90:ENST00000415888_90_90;0.95:0.35
12;ENSMUST00000189316_90_90;ENSCAFT00000022211_90_90:ENST00000367635_90_90:ENST00000367634_90_90;0.387:0.39399999999999996:0.419
13;ENSMUST00000189648_90_90;;
14;ENSMUST00000190648_90_90;ENST00000415888_90_90:ENSMUST00000188656_90_90;0.368:0.95
15;ENSMUST00000190762_90_90;ENST00000324778_90_90:ENSMUST00000192343_90_90;0.5710000000000001:0.667
16;ENSMUST00000191605_90_90;ENSMUST00000171292_90_90:ENSMUST00000063199_90_90;1.0:1.0
17;ENSMUST00000192343_90_90;ENSMUST00000190762_90_90:ENST00000324778_90_90;0.667:0.375
