;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.996;0.534;0.2;0.888;0.891;0.165;0.2;0.711;0.534;0.995
ENST00000280758_90_90;0.996;1.0;0.534;0.201;0.892;0.895;0.166;0.201;0.711;0.534;0.995
ENST00000357167_90_90;0.534;0.534;1.0;0.138;0.429;0.436;0.285;0.123;0.256;0.998;0.532
ENST00000415943_90_90;0.2;0.201;0.138;1.0;0.225;0.22;0.0;0.549;0.279;0.138;0.201
ENST00000420571_90_90;0.888;0.892;0.429;0.225;1.0;0.788;0.186;0.226;0.796;0.43;0.888
ENST00000490090_90_90;0.891;0.895;0.436;0.22;0.788;1.0;0.068;0.221;0.779;0.436;0.89
ENST00000494235_90_90;0.165;0.166;0.285;0.0;0.186;0.068;1.0;0.0;0.0;0.286;0.165
ENST00000550706_90_90;0.2;0.201;0.123;0.549;0.226;0.221;0.0;1.0;0.28;0.123;0.2
ENSMUST00000020231_90_90;0.711;0.711;0.256;0.279;0.796;0.779;0.0;0.28;1.0;0.256;0.716
ENSMUST00000105306_90_90;0.534;0.534;0.998;0.138;0.43;0.436;0.286;0.123;0.256;1.0;0.532
ENSMUST00000105307_90_90;0.995;0.995;0.532;0.201;0.888;0.89;0.165;0.2;0.716;0.532;1.0
