;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000032063_90_90;ENST00000260506_90_90:ENSMUST00000162409_90_90:ENSCAFT00000050191_90_90;0.6:0.6:0.7
1;ENSCAFT00000047065_90_90;ENST00000604705_90_90:ENSMUST00000162947_90_90;0.818:0.818
2;ENSCAFT00000050191_90_90;ENST00000260506_90_90:ENSMUST00000162409_90_90:ENSCAFT00000032063_90_90;0.667:0.667:0.7
3;ENST00000260506_90_90;ENSMUST00000162409_90_90:ENSCAFT00000050191_90_90:ENSCAFT00000032063_90_90;1.0:0.667:0.6
4;ENST00000271234_90_90;ENST00000370253_90_90;0.818
5;ENST00000370253_90_90;ENST00000271234_90_90;0.818
6;ENST00000424449_90_90;ENSMUST00000197259_90_90;1.0
7;ENST00000604705_90_90;ENSMUST00000162947_90_90:ENSCAFT00000047065_90_90;1.0:0.818
8;ENSMUST00000162409_90_90;ENST00000260506_90_90:ENSCAFT00000050191_90_90:ENSCAFT00000032063_90_90;1.0:0.667:0.6
9;ENSMUST00000162947_90_90;ENST00000604705_90_90:ENSCAFT00000047065_90_90;1.0:0.818
10;ENSMUST00000197259_90_90;ENST00000424449_90_90;1.0
