;ENSCAFT00000031307_90_90;ENST00000293872_90_90;ENST00000337351_90_90;ENST00000397780_90_90;ENST00000397783_90_90;ENST00000418978_90_90;ENST00000419516_90_90;ENST00000426094_90_90;ENST00000428363_90_90;ENST00000429378_90_90;ENST00000430864_90_90;ENST00000442701_90_90;ENST00000443357_90_90;ENST00000629543_90_90;ENSMUST00000025023_90_90;ENSMUST00000114976_90_90;ENSMUST00000119928_90_90;ENSMUST00000140427_90_90;ENSMUST00000148894_90_90;ENSMUST00000152107_90_90;ENSMUST00000154235_90_90;ENSMUST00000155151_90_90
ENSCAFT00000031307_90_90;1.0;0.997;0.874;0.733;0.874;0.084;0.084;0.057;0.086;0.457;0.492;0.16;0.226;0.084;0.874;0.997;0.874;0.465;0.147;0.457;0.057;0.186
ENST00000293872_90_90;0.997;1.0;0.874;0.732;0.874;0.08;0.08;0.052;0.086;0.458;0.492;0.159;0.226;0.08;0.873;0.997;0.873;0.466;0.139;0.457;0.048;0.186
ENST00000337351_90_90;0.874;0.874;1.0;0.837;1.0;0.091;0.091;0.059;0.098;0.333;0.562;0.183;0.258;0.091;0.999;0.873;0.999;0.532;0.158;0.333;0.054;0.213
ENST00000397780_90_90;0.733;0.732;0.837;1.0;0.837;0.0;0.0;0.0;0.118;0.388;0.672;0.218;0.309;0.0;0.837;0.732;0.837;0.635;0.007;0.388;0.0;0.254
ENST00000397783_90_90;0.874;0.874;1.0;0.837;1.0;0.091;0.091;0.059;0.098;0.333;0.562;0.183;0.258;0.091;0.999;0.873;0.999;0.532;0.158;0.333;0.054;0.213
ENST00000418978_90_90;0.084;0.08;0.091;0.0;0.091;1.0;1.0;0.265;0.0;0.0;0.0;0.0;0.0;1.0;0.09;0.079;0.09;0.0;0.692;0.0;0.195;0.0
ENST00000419516_90_90;0.084;0.08;0.091;0.0;0.091;1.0;1.0;0.265;0.0;0.0;0.0;0.0;0.0;1.0;0.09;0.079;0.09;0.0;0.692;0.0;0.195;0.0
ENST00000426094_90_90;0.057;0.052;0.059;0.0;0.059;0.265;0.265;1.0;0.0;0.0;0.0;0.0;0.0;0.265;0.059;0.052;0.059;0.0;0.204;0.0;0.586;0.0
ENST00000428363_90_90;0.086;0.086;0.098;0.118;0.098;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.098;0.086;0.098;0.0;0.021;0.0;0.0;0.464
ENST00000429378_90_90;0.457;0.458;0.333;0.388;0.333;0.0;0.0;0.0;0.0;1.0;0.237;0.346;0.124;0.0;0.333;0.457;0.333;0.202;0.0;0.996;0.0;0.0
ENST00000430864_90_90;0.492;0.492;0.562;0.672;0.562;0.0;0.0;0.0;0.0;0.237;1.0;0.013;0.46;0.0;0.562;0.492;0.562;0.945;0.0;0.237;0.0;0.167
ENST00000442701_90_90;0.16;0.159;0.183;0.218;0.183;0.0;0.0;0.0;0.0;0.346;0.013;1.0;0.0;0.0;0.183;0.159;0.183;0.0;0.0;0.346;0.0;0.0
ENST00000443357_90_90;0.226;0.226;0.258;0.309;0.258;0.0;0.0;0.0;0.0;0.124;0.46;0.0;1.0;0.0;0.258;0.226;0.258;0.486;0.0;0.124;0.0;0.308
ENST00000629543_90_90;0.084;0.08;0.091;0.0;0.091;1.0;1.0;0.265;0.0;0.0;0.0;0.0;0.0;1.0;0.09;0.079;0.09;0.0;0.692;0.0;0.195;0.0
ENSMUST00000025023_90_90;0.874;0.873;0.999;0.837;0.999;0.09;0.09;0.059;0.098;0.333;0.562;0.183;0.258;0.09;1.0;0.874;1.0;0.531;0.159;0.333;0.054;0.212
ENSMUST00000114976_90_90;0.997;0.997;0.873;0.732;0.873;0.079;0.079;0.052;0.086;0.457;0.492;0.159;0.226;0.079;0.874;1.0;0.874;0.465;0.14;0.458;0.048;0.186
ENSMUST00000119928_90_90;0.874;0.873;0.999;0.837;0.999;0.09;0.09;0.059;0.098;0.333;0.562;0.183;0.258;0.09;1.0;0.874;1.0;0.531;0.159;0.333;0.054;0.212
ENSMUST00000140427_90_90;0.465;0.466;0.532;0.635;0.532;0.0;0.0;0.0;0.0;0.202;0.945;0.0;0.486;0.0;0.531;0.465;0.531;1.0;0.0;0.202;0.0;0.175
ENSMUST00000148894_90_90;0.147;0.139;0.158;0.007;0.158;0.692;0.692;0.204;0.021;0.0;0.0;0.0;0.0;0.692;0.159;0.14;0.159;0.0;1.0;0.0;0.158;0.016
ENSMUST00000152107_90_90;0.457;0.457;0.333;0.388;0.333;0.0;0.0;0.0;0.0;0.996;0.237;0.346;0.124;0.0;0.333;0.458;0.333;0.202;0.0;1.0;0.0;0.0
ENSMUST00000154235_90_90;0.057;0.048;0.054;0.0;0.054;0.195;0.195;0.586;0.0;0.0;0.0;0.0;0.0;0.195;0.054;0.048;0.054;0.0;0.158;0.0;1.0;0.0
ENSMUST00000155151_90_90;0.186;0.186;0.213;0.254;0.213;0.0;0.0;0.0;0.464;0.0;0.167;0.0;0.308;0.0;0.212;0.186;0.212;0.175;0.016;0.0;0.0;1.0
