;ENSCAFT00000048678_90_90;ENST00000222597_90_90;ENST00000415884_90_90;ENST00000420796_90_90;ENST00000432748_90_90;ENST00000440859_90_90;ENSMUST00000064240_90_90;ENSMUST00000085487_90_90;ENSMUST00000101499_90_90;ENSMUST00000185739_90_90;ENSMUST00000188326_90_90
ENSCAFT00000048678_90_90;1.0;0.933;0.4;0.667;0.2;1.0;0.875;0.875;1.0;0.938;0.438
ENST00000222597_90_90;0.933;1.0;0.375;0.625;0.25;0.938;0.867;0.8;0.933;1.0;0.5
ENST00000415884_90_90;0.4;0.375;1.0;0.5;0.5;0.438;0.333;0.462;0.4;0.333;0.444
ENST00000420796_90_90;0.667;0.625;0.5;1.0;0.231;0.688;0.6;0.643;0.667;0.6;0.417
ENST00000432748_90_90;0.2;0.25;0.5;0.231;1.0;0.235;0.133;0.231;0.2;0.214;0.25
ENST00000440859_90_90;1.0;0.938;0.438;0.688;0.235;1.0;0.933;0.867;1.0;0.933;0.467
ENSMUST00000064240_90_90;0.875;0.867;0.333;0.6;0.133;0.933;1.0;0.75;0.875;0.812;0.5
ENSMUST00000085487_90_90;0.875;0.8;0.462;0.643;0.231;0.867;0.75;1.0;0.875;0.812;0.5
ENSMUST00000101499_90_90;1.0;0.933;0.4;0.667;0.2;1.0;0.875;0.875;1.0;0.938;0.438
ENSMUST00000185739_90_90;0.938;1.0;0.333;0.6;0.214;0.933;0.812;0.812;0.938;1.0;0.467
ENSMUST00000188326_90_90;0.438;0.5;0.444;0.417;0.25;0.467;0.5;0.5;0.438;0.467;1.0
