;ENSCAFT00000049128_90_90;ENST00000315660_90_90;ENST00000372382_90_90;ENST00000372383_90_90;ENST00000372384_90_90;ENST00000372390_90_90;ENST00000372397_90_90;ENST00000480691_90_90;ENST00000486554_90_90;ENST00000502650_90_90;ENST00000502961_90_90;ENST00000503515_90_90;ENST00000505965_90_90;ENST00000506081_90_90;ENST00000506724_90_90;ENST00000510887_90_90;ENST00000514426_90_90;ENST00000514897_90_90;ENSMUST00000055738_90_90;ENSMUST00000112996_90_90;ENSMUST00000123898_90_90
ENSCAFT00000049128_90_90;1.0;1.0;0.588;1.0;1.0;0.353;0.588;0.588;0.059;0.471;0.176;0.235;0.294;1.0;0.353;0.529;0.765;0.647;0.647;0.941;0.588
ENST00000315660_90_90;1.0;1.0;0.55;1.0;1.0;0.35;0.524;0.579;0.05;0.474;0.158;0.174;0.263;1.0;0.316;0.526;0.789;0.6;0.556;1.0;0.556
ENST00000372382_90_90;0.588;0.55;1.0;0.55;0.55;0.538;0.786;0.15;0.077;0.05;0.0;0.25;0.0;0.55;0.0;0.1;0.688;0.19;0.833;0.556;1.0
ENST00000372383_90_90;1.0;1.0;0.55;1.0;1.0;0.35;0.524;0.579;0.05;0.474;0.158;0.174;0.263;1.0;0.316;0.526;0.789;0.6;0.556;1.0;0.556
ENST00000372384_90_90;1.0;1.0;0.55;1.0;1.0;0.35;0.524;0.579;0.05;0.474;0.158;0.174;0.263;1.0;0.316;0.526;0.789;0.6;0.556;1.0;0.556
ENST00000372390_90_90;0.353;0.35;0.538;0.35;0.35;1.0;0.5;0.0;0.25;0.0;0.0;0.0;0.0;0.35;0.0;0.0;0.438;0.0;0.545;0.353;0.545
ENST00000372397_90_90;0.588;0.524;0.786;0.524;0.524;0.5;1.0;0.143;0.071;0.048;0.0;0.4;0.0;0.524;0.0;0.095;0.647;0.182;1.0;0.556;0.833
ENST00000480691_90_90;0.588;0.579;0.15;0.579;0.579;0.0;0.143;1.0;0.0;0.818;0.273;0.188;0.455;0.579;0.545;0.909;0.368;0.846;0.167;0.588;0.167
ENST00000486554_90_90;0.059;0.05;0.077;0.05;0.05;0.25;0.071;0.0;1.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.062;0.0;0.091;0.059;0.091
ENST00000502650_90_90;0.471;0.474;0.05;0.474;0.474;0.0;0.048;0.818;0.0;1.0;0.333;0.062;0.556;0.474;0.667;0.9;0.263;0.692;0.056;0.471;0.056
ENST00000502961_90_90;0.176;0.158;0.0;0.158;0.158;0.0;0.0;0.273;0.0;0.333;1.0;0.0;0.6;0.158;0.5;0.3;0.0;0.231;0.0;0.118;0.0
ENST00000503515_90_90;0.235;0.174;0.25;0.174;0.174;0.0;0.4;0.188;0.0;0.062;0.0;1.0;0.0;0.174;0.0;0.125;0.211;0.312;0.455;0.222;0.333
ENST00000505965_90_90;0.294;0.263;0.0;0.263;0.263;0.0;0.0;0.455;0.0;0.556;0.6;0.0;1.0;0.263;0.833;0.5;0.053;0.385;0.0;0.235;0.0
ENST00000506081_90_90;1.0;1.0;0.55;1.0;1.0;0.35;0.524;0.579;0.05;0.474;0.158;0.174;0.263;1.0;0.316;0.526;0.789;0.6;0.556;1.0;0.556
ENST00000506724_90_90;0.353;0.316;0.0;0.316;0.316;0.0;0.0;0.545;0.0;0.667;0.5;0.0;0.833;0.316;1.0;0.6;0.105;0.462;0.0;0.294;0.0
ENST00000510887_90_90;0.529;0.526;0.1;0.526;0.526;0.0;0.095;0.909;0.0;0.9;0.3;0.125;0.5;0.526;0.6;1.0;0.316;0.769;0.111;0.529;0.111
ENST00000514426_90_90;0.765;0.789;0.688;0.789;0.789;0.438;0.647;0.368;0.062;0.263;0.0;0.211;0.053;0.789;0.105;0.316;1.0;0.4;0.667;0.824;0.667
ENST00000514897_90_90;0.647;0.6;0.19;0.6;0.6;0.0;0.182;0.846;0.0;0.692;0.231;0.312;0.385;0.6;0.462;0.769;0.4;1.0;0.222;0.647;0.222
ENSMUST00000055738_90_90;0.647;0.556;0.833;0.556;0.556;0.545;1.0;0.167;0.091;0.056;0.0;0.455;0.0;0.556;0.0;0.111;0.667;0.222;1.0;0.571;0.8
ENSMUST00000112996_90_90;0.941;1.0;0.556;1.0;1.0;0.353;0.556;0.588;0.059;0.471;0.118;0.222;0.235;1.0;0.294;0.529;0.824;0.647;0.571;1.0;0.6
ENSMUST00000123898_90_90;0.588;0.556;1.0;0.556;0.556;0.545;0.833;0.167;0.091;0.056;0.0;0.333;0.0;0.556;0.0;0.111;0.667;0.222;0.8;0.6;1.0
