;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;1.0;0.515;0.526;0.044;0.307;0.164;0.804;0.209;0.804;0.196;0.226;0.408;0.558;0.934;0.247;0.302
ENST00000320694_90_90;0.515;1.0;0.856;0.07;0.502;0.0;0.573;0.355;0.573;0.274;0.323;0.695;0.799;0.525;0.418;0.456
ENST00000336483_90_90;0.526;0.856;1.0;0.185;0.47;0.0;0.548;0.33;0.548;0.257;0.303;0.647;0.933;0.505;0.336;0.425
ENST00000517698_90_90;0.044;0.07;0.185;1.0;0.083;0.0;0.048;0.0;0.048;0.11;0.1;0.0;0.142;0.023;0.05;0.051
ENST00000519025_90_90;0.307;0.502;0.47;0.083;1.0;0.0;0.324;0.592;0.324;0.198;0.259;0.443;0.47;0.315;0.374;0.667
ENST00000520675_90_90;0.164;0.0;0.0;0.0;0.0;1.0;0.145;0.0;0.145;0.0;0.0;0.0;0.0;0.143;0.0;0.0
ENST00000521381_90_90;0.804;0.573;0.548;0.048;0.324;0.145;1.0;0.22;1.0;0.271;0.306;0.424;0.514;0.818;0.232;0.287
ENST00000521409_90_90;0.209;0.355;0.33;0.0;0.592;0.0;0.22;1.0;0.22;0.062;0.136;0.547;0.33;0.214;0.261;0.591
ENST00000521657_90_90;0.804;0.573;0.548;0.048;0.324;0.145;1.0;0.22;1.0;0.271;0.306;0.424;0.514;0.818;0.232;0.287
ENST00000522084_90_90;0.196;0.274;0.257;0.11;0.198;0.0;0.271;0.062;0.271;1.0;0.882;0.046;0.215;0.201;0.434;0.28
ENST00000523807_90_90;0.226;0.323;0.303;0.1;0.259;0.0;0.306;0.136;0.306;0.882;1.0;0.098;0.26;0.232;0.526;0.354
ENST00000523872_90_90;0.408;0.695;0.647;0.0;0.443;0.0;0.424;0.547;0.424;0.046;0.098;1.0;0.647;0.416;0.174;0.347
ENSMUST00000035532_90_90;0.558;0.799;0.933;0.142;0.47;0.0;0.514;0.33;0.514;0.215;0.26;0.647;1.0;0.536;0.384;0.478
ENSMUST00000055518_90_90;0.934;0.525;0.505;0.023;0.315;0.143;0.818;0.214;0.818;0.201;0.232;0.416;0.536;1.0;0.256;0.311
ENSMUST00000185795_90_90;0.247;0.418;0.336;0.05;0.374;0.0;0.232;0.261;0.232;0.434;0.526;0.174;0.384;0.256;1.0;0.584
ENSMUST00000187009_90_90;0.302;0.456;0.425;0.051;0.667;0.0;0.287;0.591;0.287;0.28;0.354;0.347;0.478;0.311;0.584;1.0
