id_transcript;id_gene
ENSCAFT00000017221_90_90;ENSCAFG00000010821_90
ENSCAFT00000027149_90_90;ENSCAFG00000017134_90
ENST00000256062_90_90;ENSG00000133687_90
ENST00000539277_90_90;ENSG00000133687_90
ENST00000550354_90_90;ENSG00000133687_90
ENST00000551659_90_90;ENSG00000133687_90
ENST00000552618_90_90;ENSG00000133687_90
ENST00000373701_90_90;ENSG00000147162_90
ENST00000373719_90_90;ENSG00000147162_90
ENST00000444774_90_90;ENSG00000147162_90
ENSMUST00000060095_90_90;ENSMUSG00000030306_90
ENSMUST00000100772_90_90;ENSMUSG00000030306_90
ENSMUST00000140797_90_90;ENSMUSG00000030306_90
ENSMUST00000203991_90_90;ENSMUSG00000030306_90
ENSMUST00000044475_90_90;ENSMUSG00000034160_90
ENSMUST00000119299_90_90;ENSMUSG00000034160_90
