;ENSCAFT00000011068_90_90;ENST00000361272_90_90;ENST00000518021_90_90;ENST00000518541_90_90;ENST00000519918_90_90;ENST00000519954_90_90;ENST00000520178_90_90;ENST00000523917_90_90;ENST00000524358_90_90;ENST00000628418_90_90;ENSMUST00000034012_90_90;ENSMUST00000132032_90_90;ENSMUST00000135269_90_90;ENSMUST00000149992_90_90
ENSCAFT00000011068_90_90;1.0;1.0;0.25;0.25;0.625;0.25;0.375;0.875;0.5;0.25;1.0;1.0;0.875;1.0
ENST00000361272_90_90;1.0;1.0;0.222;0.25;0.556;0.222;0.375;0.778;0.5;0.222;1.0;1.0;0.875;1.0
ENST00000518021_90_90;0.25;0.222;1.0;0.0;0.125;0.5;0.5;0.222;0.4;0.5;0.25;0.25;0.286;0.25
ENST00000518541_90_90;0.25;0.25;0.0;1.0;0.143;0.0;0.0;0.111;0.0;0.0;0.25;0.25;0.286;0.25
ENST00000519918_90_90;0.625;0.556;0.125;0.143;1.0;0.125;0.286;0.556;0.429;0.125;0.625;0.625;0.714;0.625
ENST00000519954_90_90;0.25;0.222;0.5;0.0;0.125;1.0;0.5;0.222;0.4;1.0;0.25;0.25;0.286;0.25
ENST00000520178_90_90;0.375;0.375;0.5;0.0;0.286;0.5;1.0;0.375;0.75;0.5;0.375;0.375;0.429;0.375
ENST00000523917_90_90;0.875;0.778;0.222;0.111;0.556;0.222;0.375;1.0;0.5;0.222;0.875;0.875;0.75;0.875
ENST00000524358_90_90;0.5;0.5;0.4;0.0;0.429;0.4;0.75;0.5;1.0;0.4;0.5;0.5;0.571;0.5
ENST00000628418_90_90;0.25;0.222;0.5;0.0;0.125;1.0;0.5;0.222;0.4;1.0;0.25;0.25;0.286;0.25
ENSMUST00000034012_90_90;1.0;1.0;0.25;0.25;0.625;0.25;0.375;0.875;0.5;0.25;1.0;1.0;0.875;1.0
ENSMUST00000132032_90_90;1.0;1.0;0.25;0.25;0.625;0.25;0.375;0.875;0.5;0.25;1.0;1.0;0.875;1.0
ENSMUST00000135269_90_90;0.875;0.875;0.286;0.286;0.714;0.286;0.429;0.75;0.571;0.286;0.875;0.875;1.0;0.875
ENSMUST00000149992_90_90;1.0;1.0;0.25;0.25;0.625;0.25;0.375;0.875;0.5;0.25;1.0;1.0;0.875;1.0
