;ENSCAFT00000007417_90_90;ENST00000283628_90_90;ENST00000283629_90_90;ENST00000411650_90_90;ENST00000447368_90_90;ENST00000456378_90_90;ENSMUST00000009885_90_90;ENSMUST00000084885_90_90;ENSMUST00000116492_90_90;ENSMUST00000214095_90_90;ENSMUST00000216558_90_90
ENSCAFT00000007417_90_90;1.0;0.455;0.455;0.0;0.463;0.32;0.463;0.455;0.463;0.463;0.455
ENST00000283628_90_90;0.455;1.0;1.0;0.065;0.967;0.533;0.967;1.0;0.967;0.967;1.0
ENST00000283629_90_90;0.455;1.0;1.0;0.065;0.967;0.533;0.967;1.0;0.967;0.967;1.0
ENST00000411650_90_90;0.0;0.065;0.065;1.0;0.067;0.0;0.067;0.065;0.067;0.067;0.065
ENST00000447368_90_90;0.463;0.967;0.967;0.067;1.0;0.552;1.0;0.967;1.0;1.0;0.967
ENST00000456378_90_90;0.32;0.533;0.533;0.0;0.552;1.0;0.552;0.533;0.552;0.552;0.533
ENSMUST00000009885_90_90;0.463;0.967;0.967;0.067;1.0;0.552;1.0;0.967;1.0;1.0;0.967
ENSMUST00000084885_90_90;0.455;1.0;1.0;0.065;0.967;0.533;0.967;1.0;0.967;0.967;1.0
ENSMUST00000116492_90_90;0.463;0.967;0.967;0.067;1.0;0.552;1.0;0.967;1.0;1.0;0.967
ENSMUST00000214095_90_90;0.463;0.967;0.967;0.067;1.0;0.552;1.0;0.967;1.0;1.0;0.967
ENSMUST00000216558_90_90;0.455;1.0;1.0;0.065;0.967;0.533;0.967;1.0;0.967;0.967;1.0
