;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.86;0.225;0.224;0.384;0.363;0.208;0.497;0.369;0.109;0.316;0.39;0.161;0.363;0.037;0.128;0.299;0.219;0.39;0.363;0.302;0.12;0.178;0.271;0.363;0.364;0.36;0.19;0.253;0.37;0.366;0.352;0.368;0.374;0.3;0.372;0.374;0.024;0.21;0.444;0.458;0.058;0.443;0.454;0.057;0.146;0.131;0.169;0.452
ENSCAFT00000021175_90_90;0.86;1.0;0.263;0.263;0.35;0.33;0.199;0.433;0.335;0.104;0.289;0.356;0.154;0.329;0.036;0.122;0.269;0.197;0.356;0.33;0.271;0.115;0.17;0.261;0.427;0.434;0.431;0.263;0.316;0.427;0.423;0.33;0.345;0.351;0.28;0.349;0.351;0.022;0.189;0.411;0.518;0.056;0.509;0.528;0.054;0.14;0.125;0.228;0.52
ENSCAFT00000022869_90_90;0.225;0.263;1.0;0.963;0.311;0.297;0.032;0.208;0.284;0.006;0.112;0.298;0.008;0.283;0.0;0.008;0.35;0.161;0.298;0.297;0.345;0.05;0.013;0.01;0.122;0.127;0.125;0.175;0.162;0.124;0.122;0.305;0.331;0.318;0.397;0.323;0.318;0.02;0.194;0.187;0.125;0.049;0.132;0.131;0.0;0.0;0.103;0.134;0.134
ENSCAFT00000049479_90_90;0.224;0.263;0.963;1.0;0.289;0.275;0.033;0.206;0.263;0.006;0.114;0.276;0.008;0.261;0.0;0.009;0.326;0.165;0.276;0.276;0.321;0.052;0.013;0.01;0.124;0.129;0.127;0.179;0.165;0.126;0.124;0.283;0.309;0.296;0.373;0.301;0.296;0.021;0.191;0.185;0.126;0.051;0.134;0.133;0.0;0.0;0.106;0.137;0.136
ENST00000346964_90_90;0.384;0.35;0.311;0.289;1.0;0.963;0.225;0.688;0.917;0.114;0.4;0.952;0.167;0.898;0.039;0.133;0.68;0.281;0.952;0.964;0.688;0.12;0.193;0.041;0.098;0.097;0.097;0.099;0.121;0.099;0.099;0.567;0.631;0.596;0.635;0.592;0.596;0.028;0.322;0.361;0.157;0.076;0.148;0.155;0.0;0.009;0.106;0.057;0.15
ENST00000357674_90_90;0.363;0.33;0.297;0.275;0.963;1.0;0.189;0.654;0.952;0.119;0.415;0.918;0.173;0.932;0.04;0.138;0.703;0.292;0.918;0.999;0.712;0.124;0.201;0.042;0.078;0.078;0.078;0.072;0.096;0.079;0.079;0.584;0.601;0.568;0.605;0.564;0.568;0.029;0.334;0.373;0.136;0.079;0.127;0.135;0.0;0.009;0.073;0.028;0.129
ENST00000392380_90_90;0.208;0.199;0.032;0.033;0.225;0.189;1.0;0.316;0.194;0.51;0.386;0.23;0.742;0.179;0.171;0.593;0.014;0.029;0.23;0.189;0.014;0.2;0.825;0.08;0.103;0.101;0.102;0.11;0.154;0.104;0.104;0.013;0.043;0.044;0.047;0.044;0.044;0.0;0.0;0.019;0.203;0.046;0.189;0.201;0.0;0.024;0.134;0.153;0.194
ENST00000392381_90_90;0.497;0.433;0.208;0.206;0.688;0.654;0.316;1.0;0.669;0.161;0.562;0.705;0.235;0.649;0.054;0.187;0.449;0.392;0.705;0.653;0.454;0.168;0.272;0.05;0.117;0.115;0.116;0.128;0.153;0.118;0.118;0.362;0.384;0.392;0.418;0.389;0.392;0.039;0.413;0.479;0.188;0.106;0.178;0.187;0.0;0.012;0.144;0.074;0.182
ENST00000392382_90_90;0.369;0.335;0.284;0.263;0.917;0.952;0.194;0.669;1.0;0.122;0.425;0.963;0.177;0.979;0.041;0.142;0.739;0.299;0.963;0.951;0.748;0.127;0.206;0.042;0.079;0.079;0.079;0.073;0.097;0.08;0.08;0.612;0.567;0.594;0.635;0.591;0.594;0.03;0.342;0.38;0.138;0.081;0.129;0.137;0.0;0.01;0.075;0.029;0.131
ENST00000412364_90_90;0.109;0.104;0.006;0.006;0.114;0.119;0.51;0.161;0.122;1.0;0.286;0.117;0.687;0.124;0.336;0.859;0.0;0.0;0.117;0.119;0.0;0.0;0.592;0.071;0.047;0.047;0.047;0.0;0.065;0.048;0.048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.105;0.0;0.106;0.104;0.0;0.031;0.0;0.0;0.109
