;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.892;0.016;0.017;0.016;0.681;0.66;0.046;0.28;0.01;0.158;0.753;0.73;0.029
ENSCAFT00000005583_90_90;0.892;1.0;0.015;0.016;0.015;0.777;0.756;0.042;0.253;0.009;0.143;0.865;0.66;0.026
ENST00000272238_90_90;0.016;0.015;1.0;0.892;0.977;0.107;0.109;0.17;0.18;0.264;0.21;0.0;0.117;0.398
ENST00000381661_90_90;0.017;0.016;0.892;1.0;0.872;0.059;0.06;0.15;0.099;0.146;0.116;0.0;0.065;0.28
ENST00000635370_90_90;0.016;0.015;0.977;0.872;1.0;0.105;0.107;0.164;0.175;0.255;0.204;0.0;0.116;0.385
ENSMUST00000020884_90_90;0.681;0.777;0.107;0.059;0.105;1.0;0.977;0.146;0.392;0.16;0.307;0.817;0.872;0.139
ENSMUST00000095820_90_90;0.66;0.756;0.109;0.06;0.107;0.977;1.0;0.149;0.401;0.164;0.315;0.836;0.892;0.142
ENSMUST00000127185_90_90;0.046;0.042;0.17;0.15;0.164;0.146;0.149;1.0;0.34;0.579;0.474;0.036;0.167;0.369
ENSMUST00000140751_90_90;0.28;0.253;0.18;0.099;0.175;0.392;0.401;0.34;1.0;0.374;0.718;0.241;0.448;0.294
ENSMUST00000143131_90_90;0.01;0.009;0.264;0.146;0.255;0.16;0.164;0.579;0.374;1.0;0.521;0.0;0.184;0.618
ENSMUST00000153090_90_90;0.158;0.143;0.21;0.116;0.204;0.307;0.315;0.474;0.718;0.521;1.0;0.151;0.353;0.385
ENSMUST00000156727_90_90;0.753;0.865;0.0;0.0;0.0;0.817;0.836;0.036;0.241;0.0;0.151;1.0;0.728;0.0
ENSMUST00000221129_90_90;0.73;0.66;0.117;0.065;0.116;0.872;0.892;0.167;0.448;0.184;0.353;0.728;1.0;0.157
ENSMUST00000222103_90_90;0.029;0.026;0.398;0.28;0.385;0.139;0.142;0.369;0.294;0.618;0.385;0.0;0.157;1.0
