;ENSCAFT00000038926_90_90;ENSCAFT00000038928_90_90;ENST00000347613_90_90;ENST00000360642_90_90;ENST00000504131_90_90;ENST00000507875_90_90;ENST00000511092_90_90;ENST00000512813_90_90;ENST00000513761_90_90;ENST00000515420_90_90;ENST00000613795_90_90;ENSMUST00000004430_90_90;ENSMUST00000056508_90_90;ENSMUST00000093490_90_90;ENSMUST00000110301_90_90;ENSMUST00000110302_90_90
ENSCAFT00000038926_90_90;1.0;0.762;0.879;0.906;0.895;0.771;0.26;0.201;1.0;0.266;0.881;0.879;0.853;0.887;1.0;0.762
ENSCAFT00000038928_90_90;0.762;1.0;0.872;0.692;0.839;0.756;0.151;0.104;0.762;0.234;0.855;0.872;0.884;0.777;0.762;1.0
ENST00000347613_90_90;0.879;0.872;1.0;0.78;0.74;0.655;0.218;0.168;0.855;0.229;0.744;1.0;0.744;0.762;0.855;0.877
ENST00000360642_90_90;0.906;0.692;0.78;1.0;0.765;0.665;0.292;0.224;0.906;0.222;0.77;0.78;0.77;0.794;0.906;0.676
ENST00000504131_90_90;0.895;0.839;0.74;0.765;1.0;0.735;0.17;0.117;0.848;0.26;0.837;0.775;0.948;0.919;0.895;0.817
ENST00000507875_90_90;0.771;0.756;0.655;0.665;0.735;1.0;0.193;0.132;0.748;0.294;0.887;0.67;0.852;0.785;0.771;0.738
ENST00000511092_90_90;0.26;0.151;0.218;0.292;0.17;0.193;1.0;0.774;0.26;0.0;0.171;0.218;0.171;0.147;0.26;0.147
ENST00000512813_90_90;0.201;0.104;0.168;0.224;0.117;0.132;0.774;1.0;0.201;0.0;0.117;0.168;0.117;0.088;0.201;0.101
ENST00000513761_90_90;1.0;0.762;0.855;0.906;0.848;0.748;0.26;0.201;1.0;0.266;0.853;0.855;0.853;0.887;1.0;0.744
ENST00000515420_90_90;0.266;0.234;0.229;0.222;0.26;0.294;0.0;0.0;0.266;1.0;0.262;0.229;0.262;0.297;0.266;0.229
ENST00000613795_90_90;0.881;0.855;0.744;0.77;0.837;0.887;0.171;0.117;0.853;0.262;1.0;0.762;0.965;0.903;0.881;0.832
ENSMUST00000004430_90_90;0.879;0.872;1.0;0.78;0.775;0.67;0.218;0.168;0.855;0.229;0.762;1.0;0.744;0.762;0.855;0.877
ENSMUST00000056508_90_90;0.853;0.884;0.744;0.77;0.948;0.852;0.171;0.117;0.853;0.262;0.965;0.744;1.0;0.873;0.853;0.861
ENSMUST00000093490_90_90;0.887;0.777;0.762;0.794;0.919;0.785;0.147;0.088;0.887;0.297;0.903;0.762;0.873;1.0;0.887;0.758
ENSMUST00000110301_90_90;1.0;0.762;0.855;0.906;0.895;0.771;0.26;0.201;1.0;0.266;0.881;0.855;0.853;0.887;1.0;0.744
ENSMUST00000110302_90_90;0.762;1.0;0.877;0.676;0.817;0.738;0.147;0.101;0.744;0.229;0.832;0.877;0.861;0.758;0.744;1.0
