;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.769;0.748;0.76;0.683;0.769;0.639;0.528;0.768;0.768;0.768;0.704;0.664;0.711;0.863
transcript6_ENSECAG00000007947;0.769;1.0;0.966;0.774;0.873;1.0;0.814;0.529;0.774;0.774;0.774;0.7;0.641;0.726;0.877
transcript7_ENSECAG00000007947;0.748;0.966;1.0;0.799;0.839;0.966;0.78;0.498;0.744;0.744;0.744;0.678;0.611;0.696;0.847
transcript7_ENSMLUG00000027828;0.76;0.774;0.799;1.0;0.69;0.774;0.665;0.601;0.794;0.794;0.794;0.73;0.671;0.757;0.888
transcript19_ENSECAG00000007947;0.683;0.873;0.839;0.69;1.0;0.873;0.932;0.436;0.873;0.873;0.873;0.79;0.726;0.822;0.766
transcript20_ENSECAG00000007947;0.769;1.0;0.966;0.774;0.873;1.0;0.814;0.529;0.774;0.774;0.774;0.7;0.641;0.726;0.877
transcript21_ENSECAG00000007947;0.639;0.814;0.78;0.665;0.932;0.814;1.0;0.462;0.815;0.815;0.815;0.732;0.72;0.873;0.714
transcript13_ENSMLUG00000027828;0.528;0.529;0.498;0.601;0.436;0.529;0.462;1.0;0.483;0.483;0.483;0.457;0.436;0.524;0.582
transcript15_ENSCGRG00015005362;0.768;0.774;0.744;0.794;0.873;0.774;0.815;0.483;1.0;1.0;1.0;0.907;0.831;0.915;0.877
transcript15_ENSCGRG00000018457;0.768;0.774;0.744;0.794;0.873;0.774;0.815;0.483;1.0;1.0;1.0;0.907;0.831;0.915;0.877
transcript15_ENSCGRG00001010245;0.768;0.774;0.744;0.794;0.873;0.774;0.815;0.483;1.0;1.0;1.0;0.907;0.831;0.915;0.877
transcript15_ENSPEMG00000024651;0.704;0.7;0.678;0.73;0.79;0.7;0.732;0.457;0.907;0.907;0.907;1.0;0.759;0.821;0.794
transcript15_ENSSTOG00000019743;0.664;0.641;0.611;0.671;0.726;0.641;0.72;0.436;0.831;0.831;0.831;0.759;1.0;0.801;0.728
transcript36_ENSCGRG00000018457;0.711;0.726;0.696;0.757;0.822;0.726;0.873;0.524;0.915;0.915;0.915;0.821;0.801;1.0;0.802
transcript25_ENSCPOG00000024843;0.863;0.877;0.847;0.888;0.766;0.877;0.714;0.582;0.877;0.877;0.877;0.794;0.728;0.802;1.0
