;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.839;0.472;0.214;0.762;0.75;0.135;0.219;0.638;0.482;0.867
ENST00000280758_90_90;0.839;1.0;0.449;0.22;0.918;0.895;0.139;0.295;0.651;0.458;0.884
ENST00000357167_90_90;0.472;0.449;1.0;0.124;0.373;0.37;0.226;0.089;0.208;0.958;0.426
ENST00000415943_90_90;0.214;0.22;0.124;1.0;0.237;0.229;0.0;0.4;0.297;0.128;0.231
ENST00000420571_90_90;0.762;0.918;0.373;0.237;1.0;0.815;0.152;0.319;0.708;0.382;0.807
ENST00000490090_90_90;0.75;0.895;0.37;0.229;0.815;1.0;0.06;0.305;0.685;0.377;0.793
ENST00000494235_90_90;0.135;0.139;0.226;0.0;0.152;0.06;1.0;0.0;0.0;0.234;0.13
ENST00000550706_90_90;0.219;0.295;0.089;0.4;0.319;0.305;0.0;1.0;0.306;0.091;0.237
ENSMUST00000020231_90_90;0.638;0.651;0.208;0.297;0.708;0.685;0.0;0.306;1.0;0.212;0.763
ENSMUST00000105306_90_90;0.482;0.458;0.958;0.128;0.382;0.377;0.234;0.091;0.212;1.0;0.432
ENSMUST00000105307_90_90;0.867;0.884;0.426;0.231;0.807;0.793;0.13;0.237;0.763;0.432;1.0
