;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.473;0.998;0.883;1.0;1.0;0.883;0.883;0.244;0.612;0.354;0.201;0.512;0.482;0.411;0.531;0.341;0.472;0.4;0.441;0.456;0.883;0.0;0.0;0.0;0.883;1.0;0.883;0.883;0.883;0.883;0.38;0.11;0.998;0.893
ENSCAFT00000006413_90_90;0.473;1.0;0.541;0.542;0.482;0.482;0.542;0.542;0.0;0.256;0.0;0.0;0.141;0.107;0.025;0.163;0.0;0.095;0.012;0.059;0.076;0.542;0.0;0.0;0.0;0.542;0.482;0.542;0.542;0.542;0.542;0.0;0.0;0.552;0.607
ENSCAFT00000011282_90_90;0.998;0.541;1.0;0.891;0.998;0.998;0.891;0.891;0.227;0.621;0.329;0.179;0.509;0.473;0.381;0.534;0.31;0.458;0.365;0.417;0.436;0.891;0.0;0.0;0.0;0.891;0.998;0.891;0.891;0.891;0.891;0.35;0.102;0.998;0.896
ENST00000229471_90_90;0.883;0.542;0.891;1.0;0.884;0.884;0.941;0.941;0.285;0.699;0.408;0.237;0.587;0.552;0.473;0.609;0.394;0.541;0.461;0.506;0.523;0.941;0.0;0.0;0.0;0.941;0.884;0.941;0.941;1.0;0.941;0.438;0.134;0.895;0.793
ENST00000354650_90_90;1.0;0.482;0.998;0.884;1.0;1.0;0.837;0.837;0.25;0.615;0.359;0.208;0.515;0.485;0.415;0.534;0.346;0.476;0.404;0.445;0.459;0.837;0.0;0.0;0.0;0.837;1.0;0.837;0.837;0.884;0.837;0.385;0.118;0.998;0.896
ENST00000368667_90_90;1.0;0.482;0.998;0.884;1.0;1.0;0.837;0.837;0.25;0.615;0.359;0.208;0.515;0.485;0.415;0.534;0.346;0.476;0.404;0.445;0.459;0.837;0.0;0.0;0.0;0.837;1.0;0.837;0.837;0.884;0.837;0.385;0.118;0.998;0.896
ENST00000368678_90_90;0.883;0.542;0.891;0.941;0.837;0.837;1.0;1.0;0.274;0.665;0.391;0.227;0.56;0.529;0.454;0.581;0.378;0.518;0.442;0.485;0.5;1.0;0.0;0.0;0.0;1.0;0.837;1.0;1.0;0.941;1.0;0.419;0.129;0.895;0.793
ENST00000368682_90_90;0.883;0.542;0.891;0.941;0.837;0.837;1.0;1.0;0.274;0.665;0.391;0.227;0.56;0.529;0.454;0.581;0.378;0.518;0.442;0.485;0.5;1.0;0.0;0.0;0.0;1.0;0.837;1.0;1.0;0.941;1.0;0.419;0.129;0.895;0.793
ENST00000462598_90_90;0.244;0.0;0.227;0.285;0.25;0.25;0.274;0.274;1.0;0.383;0.685;0.862;0.463;0.5;0.599;0.445;0.711;0.508;0.614;0.544;0.527;0.274;0.0;0.0;0.0;0.274;0.25;0.274;0.274;0.285;0.274;0.639;0.487;0.231;0.13
ENST00000462856_90_90;0.612;0.256;0.621;0.699;0.615;0.615;0.665;0.665;0.383;1.0;0.555;0.325;0.82;0.76;0.637;0.855;0.535;0.747;0.621;0.696;0.719;0.665;0.0;0.0;0.0;0.665;0.615;0.665;0.665;0.699;0.665;0.595;0.183;0.613;0.512
