;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.339;0.333;0.357;0.357;0.363;0.249;0.271;0.28;0.26;0.26;0.232;0.249;0.241
transcript49_ENSMSIG00000000513;0.339;1.0;0.999;0.972;0.971;0.96;0.833;0.762;0.809;0.776;0.779;0.779;0.806;0.792
transcript49_MGP-SPRETEiJ-G0021131;0.333;0.999;1.0;0.927;0.925;0.914;0.804;0.754;0.794;0.731;0.733;0.713;0.736;0.736
transcript60_ENSMSIG00000000513;0.357;0.972;0.927;1.0;1.0;0.989;0.778;0.71;0.754;0.758;0.761;0.781;0.805;0.799
transcript61_ENSMSIG00000000513;0.357;0.971;0.925;1.0;1.0;0.989;0.772;0.703;0.747;0.743;0.745;0.773;0.8;0.785
transcript62_ENSMSIG00000000513;0.363;0.96;0.914;0.989;0.989;1.0;0.764;0.694;0.754;0.734;0.737;0.765;0.791;0.777
transcript40_MGP-SPRETEiJ-G0021131;0.249;0.833;0.804;0.778;0.772;0.764;1.0;0.909;0.905;0.924;0.926;0.89;0.916;0.92
transcript65_MGP-SPRETEiJ-G0021131;0.271;0.762;0.754;0.71;0.703;0.694;0.909;1.0;0.844;0.835;0.838;0.808;0.833;0.835
transcript66_MGP-SPRETEiJ-G0021131;0.28;0.809;0.794;0.754;0.747;0.754;0.905;0.844;1.0;0.831;0.834;0.805;0.83;0.832
transcript7_ENSMUSG00000054036;0.26;0.776;0.731;0.758;0.743;0.734;0.924;0.835;0.831;1.0;0.997;0.871;0.895;0.912
transcript46_ENSMUSG00000054036;0.26;0.779;0.733;0.761;0.745;0.737;0.926;0.838;0.834;0.997;1.0;0.873;0.897;0.914
transcript38_MGP-CAROLIEiJ-G0020234;0.232;0.779;0.713;0.781;0.773;0.765;0.89;0.808;0.805;0.871;0.873;1.0;0.972;0.954
transcript38_MGP-PahariEiJ-G0020237;0.249;0.806;0.736;0.805;0.8;0.791;0.916;0.833;0.83;0.895;0.897;0.972;1.0;0.928
transcript47_MGP-CAROLIEiJ-G0020234;0.241;0.792;0.736;0.799;0.785;0.777;0.92;0.835;0.832;0.912;0.914;0.954;0.928;1.0
