;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.407;0.46;0.519;0.294;0.288;0.232;0.294;0.383;0.281;0.272;0.288;0.415;0.895;0.999;0.964;0.061;0.664;0.593;0.604;0.375;0.208;0.349;0.636
ENST00000391851_90_90;0.407;1.0;0.948;0.645;0.556;0.648;0.246;0.541;0.465;0.846;0.072;0.664;0.832;0.395;0.386;0.389;0.0;0.464;0.229;0.309;0.477;0.0;0.107;0.344
ENST00000454376_90_90;0.46;0.948;1.0;0.693;0.527;0.615;0.234;0.513;0.441;0.803;0.117;0.631;0.79;0.445;0.435;0.438;0.0;0.43;0.213;0.328;0.439;0.0;0.098;0.399
ENST00000524771_90_90;0.519;0.645;0.693;1.0;0.649;0.664;0.275;0.634;0.516;0.539;0.115;0.654;0.585;0.525;0.507;0.512;0.0;0.401;0.271;0.414;0.474;0.0;0.158;0.504
ENST00000526224_90_90;0.294;0.556;0.527;0.649;1.0;0.851;0.28;0.976;0.611;0.673;0.0;0.831;0.554;0.3;0.288;0.292;0.0;0.419;0.093;0.208;0.575;0.0;0.0;0.38
ENST00000527382_90_90;0.288;0.648;0.615;0.664;0.851;1.0;0.246;0.83;0.538;0.779;0.0;0.977;0.507;0.29;0.281;0.284;0.0;0.405;0.091;0.197;0.538;0.0;0.0;0.361
ENST00000528623_90_90;0.232;0.246;0.234;0.275;0.28;0.246;1.0;0.286;0.559;0.204;0.0;0.24;0.292;0.245;0.232;0.236;0.0;0.344;0.239;0.346;0.529;0.0;0.0;0.326
ENST00000529284_90_90;0.294;0.541;0.513;0.634;0.976;0.83;0.286;1.0;0.627;0.653;0.0;0.809;0.566;0.3;0.288;0.292;0.0;0.42;0.093;0.209;0.575;0.0;0.0;0.38
ENST00000529836_90_90;0.383;0.465;0.441;0.516;0.611;0.538;0.559;0.627;1.0;0.45;0.0;0.526;0.549;0.404;0.383;0.389;0.0;0.567;0.19;0.334;0.86;0.0;0.0;0.534
ENST00000532489_90_90;0.281;0.846;0.803;0.539;0.673;0.779;0.204;0.653;0.45;1.0;0.0;0.8;0.678;0.272;0.266;0.268;0.0;0.381;0.088;0.178;0.486;0.0;0.0;0.33
ENST00000534280_90_90;0.272;0.072;0.117;0.115;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.083;0.284;0.272;0.276;0.0;0.117;0.224;0.332;0.022;0.0;0.163;0.234
ENST00000534465_90_90;0.288;0.664;0.631;0.654;0.831;0.977;0.24;0.809;0.526;0.8;0.0;1.0;0.497;0.29;0.281;0.284;0.0;0.405;0.091;0.197;0.537;0.0;0.0;0.36
ENST00000610806_90_90;0.415;0.832;0.79;0.585;0.554;0.507;0.292;0.566;0.549;0.678;0.083;0.497;1.0;0.408;0.397;0.4;0.0;0.479;0.234;0.325;0.504;0.0;0.108;0.362
ENSMUST00000045325_90_90;0.895;0.395;0.445;0.525;0.3;0.29;0.245;0.3;0.404;0.272;0.284;0.29;0.408;1.0;0.886;0.928;0.038;0.621;0.547;0.663;0.424;0.177;0.285;0.699
ENSMUST00000107843_90_90;0.999;0.386;0.435;0.507;0.288;0.281;0.232;0.288;0.383;0.266;0.272;0.281;0.397;0.886;1.0;0.954;0.08;0.661;0.591;0.59;0.378;0.205;0.34;0.621
ENSMUST00000207370_90_90;0.964;0.389;0.438;0.512;0.292;0.284;0.236;0.292;0.389;0.268;0.276;0.284;0.4;0.928;0.954;1.0;0.036;0.694;0.619;0.617;0.395;0.215;0.356;0.65
ENSMUST00000207522_90_90;0.061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.08;0.036;1.0;0.051;0.056;0.0;0.08;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.664;0.464;0.43;0.401;0.419;0.405;0.344;0.42;0.567;0.381;0.117;0.405;0.479;0.621;0.661;0.694;0.051;1.0;0.611;0.368;0.574;0.24;0.309;0.407
ENSMUST00000208312_90_90;0.593;0.229;0.213;0.271;0.093;0.091;0.239;0.093;0.19;0.088;0.224;0.091;0.234;0.547;0.591;0.619;0.056;0.611;1.0;0.433;0.244;0.272;0.573;0.269
ENSMUST00000208778_90_90;0.604;0.309;0.328;0.414;0.208;0.197;0.346;0.209;0.334;0.178;0.332;0.197;0.325;0.663;0.59;0.617;0.0;0.368;0.433;1.0;0.35;0.045;0.205;0.686
ENSMUST00000208829_90_90;0.375;0.477;0.439;0.474;0.575;0.538;0.529;0.575;0.86;0.486;0.022;0.537;0.504;0.424;0.378;0.395;0.08;0.574;0.244;0.35;1.0;0.0;0.0;0.514
ENSMUST00000208938_90_90;0.208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.177;0.205;0.215;0.0;0.24;0.272;0.045;0.0;1.0;0.361;0.043
ENSMUST00000209056_90_90;0.349;0.107;0.098;0.158;0.0;0.0;0.0;0.0;0.0;0.0;0.163;0.0;0.108;0.285;0.34;0.356;0.0;0.309;0.573;0.205;0.0;0.361;1.0;0.068
ENSMUST00000209124_90_90;0.636;0.344;0.399;0.504;0.38;0.361;0.326;0.38;0.534;0.33;0.234;0.36;0.362;0.699;0.621;0.65;0.0;0.407;0.269;0.686;0.514;0.043;0.068;1.0
