;transcript9_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript20_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript27_ENSHGLG00100003156;transcript14_ENSHGLG00100003156;transcript43_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript40_ENSHGLG00000019563;transcript32_ENSHGLG00100003156;transcript33_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript9_ENSHGLG00100006079;transcript8_ENSHGLG00100006079
transcript9_ENSHGLG00100003156;1.0;1.0;1.0;1.0;0.909;0.727;0.818;0.909;0.909;0.727;1.0;1.0;1.0;0.909
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;0.909;0.727;0.818;0.909;0.909;0.727;1.0;1.0;1.0;0.909
transcript20_ENSHGLG00000019563;1.0;1.0;1.0;1.0;0.909;0.727;0.818;0.909;0.909;0.727;1.0;1.0;1.0;0.909
transcript28_ENSHGLG00000019563;1.0;1.0;1.0;1.0;0.909;0.727;0.818;0.909;0.909;0.727;1.0;1.0;1.0;0.909
transcript27_ENSHGLG00100003156;0.909;0.909;0.909;0.909;1.0;0.8;0.727;0.818;0.818;0.636;0.909;0.909;0.909;0.818
transcript14_ENSHGLG00100003156;0.727;0.727;0.727;0.727;0.8;1.0;0.7;0.636;0.636;0.778;0.727;0.727;0.727;0.636
transcript43_ENSHGLG00000019563;0.818;0.818;0.818;0.818;0.727;0.7;1.0;0.727;0.727;0.7;0.818;0.818;0.818;0.727
transcript26_ENSHGLG00000019563;0.909;0.909;0.909;0.909;0.818;0.636;0.727;1.0;1.0;0.636;0.909;0.909;0.909;0.818
transcript40_ENSHGLG00000019563;0.909;0.909;0.909;0.909;0.818;0.636;0.727;1.0;1.0;0.636;0.909;0.909;0.909;0.818
transcript32_ENSHGLG00100003156;0.727;0.727;0.727;0.727;0.636;0.778;0.7;0.636;0.636;1.0;0.727;0.727;0.727;0.636
transcript33_ENSHGLG00100006079;1.0;1.0;1.0;1.0;0.909;0.727;0.818;0.909;0.909;0.727;1.0;1.0;1.0;0.909
transcript22_ENSHGLG00100006079;1.0;1.0;1.0;1.0;0.909;0.727;0.818;0.909;0.909;0.727;1.0;1.0;1.0;0.909
transcript9_ENSHGLG00100006079;1.0;1.0;1.0;1.0;0.909;0.727;0.818;0.909;0.909;0.727;1.0;1.0;1.0;0.909
transcript8_ENSHGLG00100006079;0.909;0.909;0.909;0.909;0.818;0.636;0.727;0.818;0.818;0.636;0.909;0.909;0.909;1.0
