;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;0.4;0.4;0.391;0.439;0.4;0.105;0.963;0.522;0.049;0.334;0.099;0.395;0.412;0.406;0.405;0.0;0.423;0.201;0.286;0.146;0.314;0.424;0.472;0.431;0.386;0.396;0.105;0.397;0.421;0.404;0.41;0.415;0.439;0.394;0.0;0.945;0.511
ENSCAFT00000018571_90_90;0.4;1.0;0.627;0.642;0.673;0.998;0.428;0.397;0.693;0.141;0.328;0.0;0.629;0.617;0.655;0.636;0.0;0.644;0.229;0.387;0.201;0.429;0.646;0.602;0.692;0.957;0.973;0.419;0.971;0.64;0.633;0.614;0.66;0.548;0.626;0.0;0.399;0.703
ENSCAFT00000021391_90_90;0.4;0.627;1.0;0.807;0.861;0.627;0.296;0.397;0.584;0.099;0.382;0.0;0.926;0.938;0.879;0.962;0.09;0.89;0.243;0.329;0.173;0.363;0.886;0.7;0.875;0.615;0.627;0.295;0.626;0.898;0.97;0.946;0.922;0.794;0.933;0.092;0.401;0.59
ENSCAFT00000021394_90_90;0.391;0.642;0.807;1.0;0.882;0.642;0.283;0.387;0.585;0.062;0.361;0.0;0.868;0.806;0.808;0.83;0.0;0.747;0.268;0.373;0.191;0.412;0.75;0.711;0.91;0.622;0.635;0.282;0.633;0.741;0.823;0.8;0.764;0.644;0.861;0.0;0.392;0.592
ENSCAFT00000021397_90_90;0.439;0.673;0.861;0.882;1.0;0.673;0.303;0.435;0.62;0.113;0.432;0.0;0.84;0.895;0.792;0.873;0.0;0.844;0.277;0.384;0.198;0.425;0.848;0.812;0.961;0.652;0.666;0.301;0.667;0.837;0.866;0.888;0.817;0.731;0.834;0.0;0.44;0.628
ENST00000227348_90_90;0.4;0.998;0.627;0.642;0.673;1.0;0.427;0.397;0.693;0.141;0.328;0.0;0.629;0.617;0.655;0.636;0.0;0.644;0.23;0.387;0.201;0.429;0.646;0.602;0.692;0.959;0.975;0.418;0.972;0.64;0.633;0.614;0.66;0.548;0.626;0.0;0.399;0.703
ENST00000533709_90_90;0.105;0.428;0.296;0.283;0.303;0.427;1.0;0.101;0.312;0.284;0.2;0.0;0.299;0.277;0.309;0.297;0.0;0.286;0.0;0.0;0.0;0.0;0.287;0.218;0.324;0.404;0.42;0.97;0.418;0.285;0.296;0.275;0.306;0.198;0.297;0.0;0.103;0.317
ENST00000252483_90_90;0.963;0.397;0.397;0.387;0.435;0.397;0.101;1.0;0.519;0.049;0.336;0.099;0.392;0.408;0.407;0.402;0.0;0.425;0.202;0.288;0.147;0.315;0.426;0.474;0.427;0.383;0.392;0.101;0.393;0.423;0.4;0.406;0.416;0.441;0.39;0.0;0.978;0.505
ENST00000252485_90_90;0.522;0.693;0.584;0.585;0.62;0.693;0.312;0.519;1.0;0.117;0.438;0.0;0.578;0.574;0.593;0.591;0.0;0.59;0.227;0.321;0.165;0.354;0.592;0.588;0.637;0.674;0.687;0.311;0.685;0.587;0.588;0.571;0.604;0.541;0.575;0.0;0.502;0.965
ENST00000585601_90_90;0.049;0.141;0.099;0.062;0.113;0.141;0.284;0.049;0.117;1.0;0.118;0.0;0.096;0.103;0.102;0.1;0.0;0.109;0.0;0.0;0.0;0.0;0.11;0.075;0.11;0.143;0.141;0.281;0.141;0.109;0.099;0.102;0.106;0.067;0.096;0.0;0.05;0.118
ENST00000591581_90_90;0.334;0.328;0.382;0.361;0.432;0.328;0.2;0.336;0.438;0.118;1.0;0.0;0.37;0.393;0.393;0.384;0.0;0.418;0.516;0.186;0.377;0.228;0.42;0.495;0.42;0.314;0.328;0.199;0.329;0.416;0.382;0.391;0.406;0.443;0.368;0.0;0.341;0.448
ENST00000592018_90_90;0.099;0.0;0.0;0.0;0.0;0.0;0.0;0.099;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.101;0.0
ENST00000331581_90_90;0.395;0.629;0.926;0.868;0.84;0.629;0.299;0.392;0.578;0.096;0.37;0.0;1.0;0.938;0.941;0.962;0.083;0.879;0.235;0.329;0.168;0.362;0.875;0.692;0.873;0.611;0.623;0.298;0.621;0.872;0.954;0.931;0.895;0.772;0.992;0.084;0.396;0.584
ENST00000452722_90_90;0.412;0.617;0.938;0.806;0.895;0.617;0.277;0.408;0.574;0.103;0.393;0.0;0.938;1.0;0.879;0.976;0.088;0.937;0.25;0.35;0.179;0.386;0.933;0.736;0.884;0.598;0.611;0.276;0.612;0.929;0.968;0.992;0.907;0.821;0.931;0.089;0.413;0.581
ENST00000536727_90_90;0.406;0.655;0.879;0.808;0.792;0.655;0.309;0.407;0.593;0.102;0.393;0.0;0.941;0.879;1.0;0.902;0.088;0.935;0.25;0.349;0.178;0.385;0.931;0.734;0.814;0.636;0.649;0.308;0.647;0.927;0.895;0.872;0.951;0.819;0.933;0.089;0.412;0.603
ENST00000537058_90_90;0.405;0.636;0.962;0.83;0.873;0.636;0.297;0.402;0.591;0.1;0.384;0.0;0.962;0.976;0.902;1.0;0.086;0.914;0.244;0.342;0.174;0.376;0.91;0.718;0.908;0.618;0.63;0.296;0.628;0.907;0.992;0.968;0.931;0.801;0.954;0.087;0.406;0.598
ENST00000540951_90_90;0.0;0.0;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.083;0.088;0.088;0.086;1.0;0.094;0.0;0.0;0.0;0.0;0.09;0.0;0.0;0.0;0.0;0.0;0.0;0.093;0.086;0.088;0.091;0.1;0.083;0.737;0.0;0.0
ENST00000542447_90_90;0.423;0.644;0.89;0.747;0.844;0.644;0.286;0.425;0.59;0.109;0.418;0.0;0.879;0.937;0.935;0.914;0.094;1.0;0.267;0.372;0.191;0.411;0.996;0.784;0.822;0.624;0.637;0.285;0.638;0.991;0.907;0.929;0.966;0.874;0.872;0.095;0.43;0.6
ENST00000542450_90_90;0.201;0.229;0.243;0.268;0.277;0.23;0.0;0.202;0.227;0.0;0.516;0.0;0.235;0.25;0.25;0.244;0.0;0.267;1.0;0.239;0.714;0.303;0.268;0.32;0.269;0.234;0.23;0.0;0.231;0.265;0.243;0.249;0.259;0.284;0.233;0.0;0.205;0.233
ENST00000543249_90_90;0.286;0.387;0.329;0.373;0.384;0.387;0.0;0.288;0.321;0.0;0.186;0.0;0.329;0.35;0.349;0.342;0.0;0.372;0.239;1.0;0.275;0.789;0.373;0.44;0.374;0.387;0.381;0.0;0.382;0.369;0.339;0.347;0.36;0.392;0.326;0.0;0.292;0.329
ENST00000543540_90_90;0.146;0.201;0.173;0.191;0.198;0.201;0.0;0.147;0.165;0.0;0.377;0.0;0.168;0.179;0.178;0.174;0.0;0.191;0.714;0.275;1.0;0.352;0.192;0.228;0.192;0.205;0.201;0.0;0.202;0.189;0.173;0.178;0.185;0.203;0.167;0.0;0.149;0.169
ENST00000545094_90_90;0.314;0.429;0.363;0.412;0.425;0.429;0.0;0.315;0.354;0.0;0.228;0.0;0.362;0.386;0.385;0.376;0.0;0.411;0.303;0.789;0.352;1.0;0.413;0.49;0.413;0.43;0.422;0.0;0.423;0.407;0.373;0.382;0.397;0.435;0.359;0.0;0.32;0.362
ENST00000545380_90_90;0.424;0.646;0.886;0.75;0.848;0.646;0.287;0.426;0.592;0.11;0.42;0.0;0.875;0.933;0.931;0.91;0.09;0.996;0.268;0.373;0.192;0.413;1.0;0.787;0.825;0.626;0.639;0.286;0.64;0.987;0.903;0.925;0.962;0.87;0.869;0.091;0.431;0.602
ENST00000612235_90_90;0.472;0.602;0.7;0.711;0.812;0.602;0.218;0.474;0.588;0.075;0.495;0.0;0.692;0.736;0.734;0.718;0.0;0.784;0.32;0.44;0.228;0.49;0.787;1.0;0.789;0.581;0.595;0.217;0.596;0.777;0.712;0.73;0.758;0.881;0.686;0.0;0.481;0.598
ENST00000616271_90_90;0.431;0.692;0.875;0.91;0.961;0.692;0.324;0.427;0.637;0.11;0.42;0.0;0.873;0.884;0.814;0.908;0.0;0.822;0.269;0.374;0.192;0.413;0.825;0.789;1.0;0.672;0.685;0.323;0.683;0.815;0.901;0.877;0.839;0.712;0.867;0.0;0.432;0.645
ENSMUST00000034519_90_90;0.386;0.957;0.615;0.622;0.652;0.959;0.404;0.383;0.674;0.143;0.314;0.0;0.611;0.598;0.636;0.618;0.0;0.624;0.234;0.387;0.205;0.43;0.626;0.581;0.672;1.0;0.982;0.415;0.98;0.62;0.614;0.595;0.64;0.53;0.607;0.0;0.385;0.684
ENSMUST00000180384_90_90;0.396;0.973;0.627;0.635;0.666;0.975;0.42;0.392;0.687;0.141;0.328;0.0;0.623;0.611;0.649;0.63;0.0;0.637;0.23;0.381;0.201;0.422;0.639;0.595;0.685;0.982;1.0;0.432;0.997;0.633;0.626;0.607;0.653;0.542;0.62;0.0;0.395;0.696
ENSMUST00000180872_90_90;0.105;0.419;0.295;0.282;0.301;0.418;0.97;0.101;0.311;0.281;0.199;0.0;0.298;0.276;0.308;0.296;0.0;0.285;0.0;0.0;0.0;0.0;0.286;0.217;0.323;0.415;0.432;1.0;0.429;0.283;0.295;0.274;0.305;0.198;0.296;0.0;0.102;0.315
ENSMUST00000188848_90_90;0.397;0.971;0.626;0.633;0.667;0.972;0.418;0.393;0.685;0.141;0.329;0.0;0.621;0.612;0.647;0.628;0.0;0.638;0.231;0.382;0.202;0.423;0.64;0.596;0.683;0.98;0.997;0.429;1.0;0.634;0.625;0.609;0.651;0.543;0.618;0.0;0.396;0.694
ENSMUST00000034581_90_90;0.421;0.64;0.898;0.741;0.837;0.64;0.285;0.423;0.587;0.109;0.416;0.0;0.872;0.929;0.927;0.907;0.093;0.991;0.265;0.369;0.189;0.407;0.987;0.777;0.815;0.62;0.633;0.283;0.634;1.0;0.914;0.937;0.974;0.883;0.88;0.102;0.428;0.597
ENSMUST00000085909_90_90;0.404;0.633;0.97;0.823;0.866;0.633;0.296;0.4;0.588;0.099;0.382;0.0;0.954;0.968;0.895;0.992;0.086;0.907;0.243;0.339;0.173;0.373;0.903;0.712;0.901;0.614;0.626;0.295;0.625;0.914;1.0;0.976;0.939;0.809;0.962;0.093;0.405;0.595
ENSMUST00000114547_90_90;0.41;0.614;0.946;0.8;0.888;0.614;0.275;0.406;0.571;0.102;0.391;0.0;0.931;0.992;0.872;0.968;0.088;0.929;0.249;0.347;0.178;0.382;0.925;0.73;0.877;0.595;0.607;0.274;0.609;0.937;0.976;1.0;0.914;0.828;0.939;0.096;0.411;0.578
ENSMUST00000114548_90_90;0.415;0.66;0.922;0.764;0.817;0.66;0.306;0.416;0.604;0.106;0.406;0.0;0.895;0.907;0.951;0.931;0.091;0.966;0.259;0.36;0.185;0.397;0.962;0.758;0.839;0.64;0.653;0.305;0.651;0.974;0.939;0.914;1.0;0.861;0.903;0.099;0.421;0.615
