;ENSCAFT00000029427_90_90;ENST00000361219_90_90;ENST00000370990_90_90;ENST00000370994_90_90;ENST00000370995_90_90;ENSMUST00000042990_90_90;ENSMUST00000203077_90_90;ENSMUST00000203233_90_90;ENSMUST00000203436_90_90;ENSMUST00000204034_90_90;ENSMUST00000204135_90_90;ENSMUST00000204293_90_90;ENSMUST00000204294_90_90;ENSMUST00000205091_90_90;ENSMUST00000205106_90_90
ENSCAFT00000029427_90_90;;0.887;0.929;0.848;0.968;1.0;0.915;0.357;0.959;0.476;0.158;0.874;0.459;0.314;0.778
ENST00000361219_90_90;0.887;;;;;0.887;0.963;0.376;0.848;0.431;0.166;0.919;0.483;0.33;0.818
ENST00000370990_90_90;0.929;;;;;0.929;0.848;0.36;0.966;0.479;0.159;0.88;0.463;0.317;0.784
ENST00000370994_90_90;0.848;;;;;0.848;0.919;0.393;0.88;0.449;0.173;0.96;0.504;0.344;0.852
ENST00000370995_90_90;0.968;;;;;0.968;0.887;0.346;0.929;0.461;0.153;0.848;0.446;0.305;0.756
ENSMUST00000042990_90_90;1.0;0.887;0.929;0.848;0.968;;;;;;;;;;
ENSMUST00000203077_90_90;0.915;0.963;0.848;0.919;0.887;;;;;;;;;;
ENSMUST00000203233_90_90;0.357;0.376;0.36;0.393;0.346;;;;;;;;;;
ENSMUST00000203436_90_90;0.959;0.848;0.966;0.88;0.929;;;;;;;;;;
ENSMUST00000204034_90_90;0.476;0.431;0.479;0.449;0.461;;;;;;;;;;
ENSMUST00000204135_90_90;0.158;0.166;0.159;0.173;0.153;;;;;;;;;;
ENSMUST00000204293_90_90;0.874;0.919;0.88;0.96;0.848;;;;;;;;;;
ENSMUST00000204294_90_90;0.459;0.483;0.463;0.504;0.446;;;;;;;;;;
ENSMUST00000205091_90_90;0.314;0.33;0.317;0.344;0.305;;;;;;;;;;
ENSMUST00000205106_90_90;0.778;0.818;0.784;0.852;0.756;;;;;;;;;;
