;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;;;0.77;0.81;0.093;0.363;0.0;0.124;0.683;0.742;0.73;0.187;0.372
ENSCAFT00000042737_90_90;;;0.833;0.801;0.059;0.334;0.0;0.153;0.704;0.762;0.751;0.185;0.367
ENST00000373836_90_90;0.77;0.833;;;;;;;0.657;0.768;0.704;0.229;0.349
ENST00000373839_90_90;0.81;0.801;;;;;;;0.716;0.704;0.766;0.16;0.396
ENST00000493669_90_90;0.093;0.059;;;;;;;0.074;0.083;0.07;0.247;0.131
ENST00000632202_90_90;0.363;0.334;;;;;;;0.272;0.302;0.325;0.414;0.449
ENST00000632421_90_90;0.0;0.0;;;;;;;0.048;0.0;0.044;0.0;0.071
ENST00000633167_90_90;0.124;0.153;;;;;;;0.073;0.198;0.105;0.409;0.125
ENSMUST00000084170_90_90;0.683;0.704;0.657;0.716;0.074;0.272;0.048;0.073;;;;;
ENSMUST00000084249_90_90;0.742;0.762;0.768;0.704;0.083;0.302;0.0;0.198;;;;;
ENSMUST00000102568_90_90;0.73;0.751;0.704;0.766;0.07;0.325;0.044;0.105;;;;;
ENSMUST00000136711_90_90;0.187;0.185;0.229;0.16;0.247;0.414;0.0;0.409;;;;;
ENSMUST00000152271_90_90;0.372;0.367;0.349;0.396;0.131;0.449;0.071;0.125;;;;;
