id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript32_ENSRNOG00000031503;transcript31_ENSRNOG00000031503|1.0;transcript32_ENSMUGG00000013649|0.819&transcript32_ENSMUGG00000013592|0.813;null;0
transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503|1.0;transcript32_ENSMUGG00000013649|0.819&transcript32_ENSMUGG00000013592|0.813;null;0
transcript7_ENSMSIG00000000513;null;transcript47_MGP-CAROLIEiJ-G0020234|0.716;null;0
transcript47_MGP-CAROLIEiJ-G0020234;null;transcript7_ENSMSIG00000000513|0.716&transcript54_ENSMUSG00000054036|0.9;null;0
transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036|0.913;transcript47_MGP-CAROLIEiJ-G0020234|0.9;null;0
transcript39_MGP-PahariEiJ-G0020237;null;transcript32_ENSMUGG00000013649|0.932&transcript39_ENSRNOG00000031503|0.777&transcript32_ENSMUGG00000013592|0.924&transcript55_ENSMUSG00000054036|0.757;null;0
transcript32_ENSMUGG00000013649;null;transcript32_ENSRNOG00000031503|0.819&transcript31_ENSRNOG00000031503|0.819&transcript39_MGP-PahariEiJ-G0020237|0.932&transcript55_ENSMUSG00000054036|0.784;transcript32_ENSMUGG00000013592|0.992;0
transcript39_ENSRNOG00000031503;null;transcript39_MGP-PahariEiJ-G0020237|0.777;null;0
transcript32_ENSMUGG00000013592;null;transcript32_ENSRNOG00000031503|0.813&transcript31_ENSRNOG00000031503|0.813&transcript39_MGP-PahariEiJ-G0020237|0.924&transcript55_ENSMUSG00000054036|0.777;transcript32_ENSMUGG00000013649|0.992;0
transcript55_ENSMUSG00000054036;transcript54_ENSMUSG00000054036|0.913;transcript39_MGP-PahariEiJ-G0020237|0.757&transcript32_ENSMUGG00000013649|0.784&transcript32_ENSMUGG00000013592|0.777;null;0
transcript38_ENSMUSG00000054036;null;transcript38_MGP-SPRETEiJ-G0021131|0.976&transcript38_ENSMSIG00000000513|1.0;null;1
transcript38_MGP-SPRETEiJ-G0021131;null;transcript38_ENSMUSG00000054036|0.976&transcript38_ENSMSIG00000000513|0.976;null;1
transcript38_ENSMSIG00000000513;null;transcript38_ENSMUSG00000054036|1.0&transcript38_MGP-SPRETEiJ-G0021131|0.976;null;1
transcript52_MGP-SPRETEiJ-G0021131;null;transcript52_ENSMSIG00000000513|0.973;null;2
transcript52_ENSMSIG00000000513;null;transcript52_MGP-SPRETEiJ-G0021131|0.973;null;2
transcript58_ENSMSIG00000000513;null;transcript58_ENSMUSG00000054036|1.0;null;3
transcript58_ENSMUSG00000054036;null;transcript58_ENSMSIG00000000513|1.0;null;3
transcript63_MGP-SPRETEiJ-G0021131;null;null;null;4
transcript8_MGP-CAROLIEiJ-G0020234;null;transcript8_ENSRNOG00000031503|0.777;null;5
transcript8_ENSRNOG00000031503;null;transcript8_MGP-CAROLIEiJ-G0020234|0.777;null;5
transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649|0.984;transcript50_ENSRNOG00000031503|0.812;null;6
transcript12_ENSMUGG00000013649;transcript50_ENSMUGG00000013649|0.984;null;null;6
transcript50_ENSRNOG00000031503;null;transcript50_ENSMUGG00000013649|0.812;null;6
