;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.5;0.5;0.818;0.667;0.5;0.25;0.2;0.583;0.636
ENSCAFT00000008903_90_90;0.5;1.0;1.0;0.636;0.8;1.0;0.3;0.25;0.545;0.6
ENST00000343600_90_90;0.5;1.0;1.0;0.636;0.8;1.0;0.3;0.25;0.545;0.6
ENST00000345429_90_90;0.818;0.636;0.636;1.0;0.818;0.636;0.364;0.2;0.727;0.8
ENST00000376673_90_90;0.667;0.8;0.8;0.818;1.0;0.8;0.25;0.2;0.583;0.636
ENST00000397601_90_90;0.5;1.0;1.0;0.636;0.8;1.0;0.3;0.25;0.545;0.6
ENST00000449284_90_90;0.25;0.3;0.3;0.364;0.25;0.3;1.0;0.0;0.4;0.3
ENST00000469707_90_90;0.2;0.25;0.25;0.2;0.2;0.25;0.0;1.0;0.222;0.25
ENSMUST00000088419_90_90;0.583;0.545;0.545;0.727;0.583;0.545;0.4;0.222;1.0;0.889
ENSMUST00000167459_90_90;0.636;0.6;0.6;0.8;0.636;0.6;0.3;0.25;0.889;1.0
