;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;1.0;0.254;0.88;0.024;0.007;0.986;0.223;0.531;0.995;0.109;0.588;0.137;0.964;0.898;0.867;0.867;0.999;0.225;0.884;0.867
ENST00000297447_90_90;0.254;1.0;0.218;0.067;0.0;0.247;0.889;0.0;0.247;0.0;0.25;0.49;0.217;0.277;0.243;0.243;0.25;0.889;0.221;0.243
ENST00000312046_90_90;0.88;0.218;1.0;0.104;0.048;0.822;0.225;0.535;0.823;0.113;0.616;0.142;0.847;0.872;0.901;0.901;0.818;0.229;0.993;0.901
ENST00000435082_90_90;0.024;0.067;0.104;1.0;0.351;0.022;0.073;0.0;0.022;0.0;0.0;0.0;0.023;0.025;0.025;0.025;0.022;0.074;0.102;0.025
ENST00000438229_90_90;0.007;0.0;0.048;0.351;1.0;0.008;0.0;0.013;0.008;0.053;0.0;0.0;0.008;0.0;0.0;0.0;0.007;0.0;0.045;0.0
ENST00000442977_90_90;0.986;0.247;0.822;0.022;0.008;1.0;0.217;0.515;0.981;0.109;0.592;0.136;0.951;0.903;0.871;0.871;0.986;0.222;0.824;0.871
ENST00000449762_90_90;0.223;0.889;0.225;0.073;0.0;0.217;1.0;0.0;0.217;0.0;0.261;0.551;0.224;0.243;0.252;0.252;0.219;1.0;0.228;0.252
ENST00000497705_90_90;0.531;0.0;0.535;0.0;0.013;0.515;0.0;1.0;0.515;0.188;0.332;0.0;0.531;0.559;0.578;0.578;0.527;0.0;0.549;0.578
ENST00000517566_90_90;0.995;0.247;0.823;0.022;0.008;0.981;0.217;0.515;1.0;0.109;0.592;0.136;0.969;0.895;0.863;0.863;0.995;0.22;0.817;0.863
ENST00000517686_90_90;0.109;0.0;0.113;0.0;0.053;0.109;0.0;0.188;0.109;1.0;0.0;0.0;0.112;0.102;0.106;0.106;0.11;0.0;0.114;0.106
ENST00000519415_90_90;0.588;0.25;0.616;0.0;0.0;0.592;0.261;0.332;0.592;0.0;1.0;0.23;0.611;0.651;0.675;0.675;0.585;0.267;0.609;0.675
ENST00000521592_90_90;0.137;0.49;0.142;0.0;0.0;0.136;0.551;0.0;0.136;0.0;0.23;1.0;0.141;0.153;0.159;0.159;0.138;0.551;0.143;0.159
ENST00000531443_90_90;0.964;0.217;0.847;0.023;0.008;0.951;0.224;0.531;0.969;0.112;0.611;0.141;1.0;0.863;0.891;0.891;0.964;0.227;0.841;0.891
ENSMUST00000022918_90_90;0.898;0.277;0.872;0.025;0.0;0.903;0.243;0.559;0.895;0.102;0.651;0.153;0.863;1.0;0.965;0.965;0.898;0.242;0.874;0.965
ENSMUST00000090095_90_90;0.867;0.243;0.901;0.025;0.0;0.871;0.252;0.578;0.863;0.106;0.675;0.159;0.891;0.965;1.0;1.0;0.867;0.251;0.903;1.0
ENSMUST00000090096_90_90;0.867;0.243;0.901;0.025;0.0;0.871;0.252;0.578;0.863;0.106;0.675;0.159;0.891;0.965;1.0;1.0;0.867;0.251;0.903;1.0
ENSMUST00000110297_90_90;0.999;0.25;0.818;0.022;0.007;0.986;0.219;0.527;0.995;0.11;0.585;0.138;0.964;0.898;0.867;0.867;1.0;0.218;0.821;0.867
ENSMUST00000166917_90_90;0.225;0.889;0.229;0.074;0.0;0.222;1.0;0.0;0.22;0.0;0.267;0.551;0.227;0.242;0.251;0.251;0.218;1.0;0.227;0.251
ENSMUST00000170127_90_90;0.884;0.221;0.993;0.102;0.045;0.824;0.228;0.549;0.817;0.114;0.609;0.143;0.841;0.874;0.903;0.903;0.821;0.227;1.0;0.903
ENSMUST00000179393_90_90;0.867;0.243;0.901;0.025;0.0;0.871;0.252;0.578;0.863;0.106;0.675;0.159;0.891;0.965;1.0;1.0;0.867;0.251;0.903;1.0
