;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENSCAFT00000028998_90_90;1.0;0.105;0.105;0.368;0.158;0.158;0.158;0.158;0.316;0.947;0.842;0.842;0.842;0.895;0.789;0.947;0.105;0.789;0.895;0.158;1.0;0.95;0.05;0.95;0.95;0.45
ENST00000587805_90_90;0.105;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.143;0.158;0.158;0.158;0.15;0.167;0.143;0.0;0.167;0.15;0.0;0.105;0.111;0.0;0.111;0.111;0.0
ENST00000588116_90_90;0.105;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.095;0.105;0.105;0.105;0.1;0.111;0.095;0.0;0.111;0.1;0.0;0.105;0.111;0.0;0.111;0.111;0.0
ENST00000589774_90_90;0.368;0.0;0.0;1.0;0.5;0.2;0.2;0.2;0.875;0.4;0.444;0.444;0.444;0.35;0.471;0.4;0.222;0.389;0.421;0.2;0.368;0.389;0.143;0.389;0.316;0.778
ENST00000590432_90_90;0.158;0.0;0.0;0.5;1.0;0.333;0.333;0.333;0.571;0.2;0.222;0.222;0.222;0.211;0.235;0.2;0.4;0.235;0.211;0.333;0.158;0.167;0.333;0.167;0.167;0.333
ENST00000590538_90_90;0.158;0.0;0.0;0.2;0.333;1.0;1.0;1.0;0.222;0.091;0.1;0.1;0.1;0.095;0.105;0.091;0.4;0.105;0.095;1.0;0.158;0.167;0.333;0.167;0.167;0.333
ENST00000591610_90_90;0.158;0.0;0.0;0.2;0.333;1.0;1.0;1.0;0.222;0.091;0.1;0.1;0.1;0.095;0.105;0.091;0.4;0.105;0.095;1.0;0.158;0.167;0.333;0.167;0.167;0.333
ENST00000592167_90_90;0.158;0.0;0.0;0.2;0.333;1.0;1.0;1.0;0.222;0.091;0.1;0.1;0.1;0.095;0.105;0.091;0.4;0.105;0.095;1.0;0.158;0.167;0.333;0.167;0.167;0.333
ENST00000593014_90_90;0.316;0.0;0.0;0.875;0.571;0.222;0.222;0.222;1.0;0.35;0.389;0.389;0.389;0.3;0.412;0.35;0.25;0.333;0.368;0.222;0.316;0.333;0.167;0.333;0.263;0.667
ENST00000610402_90_90;0.947;0.143;0.095;0.4;0.2;0.091;0.091;0.091;0.35;1.0;0.9;0.9;0.9;0.95;0.85;1.0;0.095;0.85;0.95;0.091;0.947;0.895;0.056;0.895;0.895;0.421
ENST00000612035_90_90;0.842;0.158;0.105;0.444;0.222;0.1;0.1;0.1;0.389;0.9;1.0;1.0;1.0;0.85;0.944;0.9;0.105;0.944;0.85;0.1;0.842;0.789;0.062;0.889;0.789;0.471
