id_transcript;block_sequence
ENSCAFT00000044457_90_90;3.5.6.8.9.10.11.12.13.14.15.18.19.20.21.22.24
ENST00000295894_90_90;2.3.13.14.15.18.19.20.21.22.24
ENST00000450542_90_90;0.15.18
ENST00000460711_90_90;2.3.4.5.13.14.15.18.19.20.21.22.24
ENST00000465156_90_90;2.3.13.14.15.18.19.20.24
ENST00000468110_90_90;0.13.14.21
ENST00000472899_90_90;2.3.6.7.8.10.12.13
ENST00000478300_90_90;0.13.14.15.18.19.20.21.22.24
ENST00000479198_90_90;2.3.13.14.15.18.19.20.21.22.23
ENST00000498449_90_90;2.3.13.14.21
ENSMUST00000070323_90_90;0.13.14.17.18.19.20.21.22.24
ENSMUST00000112656_90_90;2.3.13.14.17.18.19.20.21.22.24
ENSMUST00000153954_90_90;2.3.13.14.15.16.17.18.19
ENSMUST00000223583_90_90;1.13.14.15.16.17.18.19.20.21.22.24
