;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.582;0.512;0.736;0.635;0.574;0.574;0.574;0.577;0.577;0.581;0.266;0.377;0.541;0.0;0.38;0.565;0.488;0.0;0.525;0.639;0.639;0.577;0.13;0.307;0.271;0.508;0.271;0.13;0.328;0.547;0.294;0.357;0.377;0.0;0.0;0.0;0.541;0.379;0.36;0.544;0.38;0.385;0.616;0.438;0.471;0.577;0.574;0.0;0.577;0.0;0.0;0.574;0.0;0.623;0.69;0.69;0.69;0.69;0.69;0.289;0.69;0.015;0.033
ENSCAFT00000013439_90_90;0.582;1.0;0.785;0.859;0.919;0.883;0.883;0.891;0.829;0.814;0.752;0.2;0.726;0.878;0.177;0.65;0.881;0.946;0.166;0.891;0.513;0.513;0.516;0.176;0.526;0.365;0.522;0.335;0.176;0.534;0.362;0.435;0.532;0.726;0.075;0.07;0.195;0.878;0.686;0.718;0.839;0.649;0.585;0.887;0.956;0.899;0.814;0.891;0.076;0.814;0.29;0.077;0.891;0.058;0.512;0.508;0.508;0.508;0.508;0.508;0.514;0.508;0.026;0.068
ENSCAFT00000037016_90_90;0.512;0.785;1.0;0.822;0.859;0.921;0.921;0.929;0.863;0.85;0.784;0.207;0.743;0.929;0.189;0.665;0.875;0.917;0.168;0.975;0.226;0.226;0.228;0.49;0.242;0.322;0.231;0.341;0.49;0.237;0.076;0.28;0.235;0.744;0.08;0.075;0.206;0.929;0.701;0.748;0.887;0.665;0.593;0.877;0.92;0.979;0.85;0.929;0.08;0.85;0.306;0.08;0.929;0.059;0.225;0.224;0.224;0.224;0.224;0.224;0.247;0.224;0.058;0.149
ENSCAFT00000021145_90_90;0.736;0.859;0.822;1.0;0.833;0.851;0.851;0.86;0.792;0.662;0.595;0.151;0.825;0.846;0.386;0.63;0.793;0.776;0.249;0.798;0.54;0.54;0.476;0.165;0.311;0.233;0.439;0.233;0.165;0.327;0.42;0.277;0.342;0.823;0.176;0.162;0.409;0.845;0.789;0.816;0.811;0.63;0.698;0.848;0.738;0.759;0.662;0.86;0.169;0.662;0.51;0.206;0.86;0.131;0.494;0.579;0.579;0.579;0.579;0.579;0.277;0.579;0.014;0.028
ENSCAFT00000025193_90_90;0.635;0.919;0.859;0.833;1.0;0.834;0.834;0.84;0.792;0.865;0.813;0.223;0.663;0.842;0.167;0.679;0.868;0.932;0.216;0.962;0.56;0.56;0.563;0.243;0.588;0.567;0.572;0.536;0.243;0.584;0.407;0.591;0.581;0.664;0.013;0.123;0.18;0.844;0.634;0.665;0.813;0.679;0.556;0.869;0.933;0.964;0.859;0.835;0.127;0.859;0.249;0.037;0.835;0.0;0.56;0.557;0.557;0.557;0.557;0.557;0.588;0.557;0.024;0.064
ENST00000302271_90_90;0.574;0.883;0.921;0.851;0.834;1.0;1.0;0.991;0.957;0.841;0.806;0.242;0.796;0.99;0.275;0.651;0.825;0.863;0.249;0.853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.793;0.132;0.105;0.286;0.987;0.762;0.793;0.956;0.653;0.694;0.853;0.897;0.885;0.845;0.996;0.107;0.845;0.359;0.155;0.996;0.111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374612_90_90;0.574;0.883;0.921;0.851;0.834;1.0;1.0;0.991;0.957;0.841;0.806;0.242;0.796;0.99;0.275;0.651;0.825;0.863;0.249;0.853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.793;0.132;0.105;0.286;0.987;0.762;0.793;0.956;0.653;0.694;0.853;0.897;0.885;0.845;0.996;0.107;0.845;0.359;0.155;0.996;0.111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000374616_90_90;0.574;0.891;0.929;0.86;0.84;0.991;0.991;1.0;0.949;0.851;0.799;0.24;0.801;0.995;0.275;0.655;0.833;0.871;0.248;0.861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.797;0.132;0.105;0.284;0.992;0.766;0.798;0.961;0.658;0.691;0.861;0.905;0.893;0.849;1.0;0.106;0.849;0.363;0.154;1.0;0.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000427764_90_90;0.577;0.829;0.863;0.792;0.792;0.957;0.957;0.949;1.0;0.799;0.842;0.252;0.754;0.947;0.232;0.607;0.776;0.81;0.193;0.801;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.749;0.139;0.072;0.241;0.944;0.718;0.75;0.912;0.609;0.65;0.801;0.841;0.831;0.801;0.953;0.063;0.801;0.316;0.163;0.953;0.115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000478691_90_90;0.577;0.814;0.85;0.662;0.865;0.841;0.841;0.851;0.799;1.0;0.94;0.281;0.658;0.852;0.128;0.772;0.881;0.934;0.267;0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.663;0.0;0.123;0.145;0.858;0.633;0.664;0.826;0.772;0.555;0.881;0.934;0.92;1.0;0.849;0.125;1.0;0.212;0.004;0.849;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
