;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;1.0;0.909;0.864;0.591;0.364;0.136;0.737;0.684;0.895;0.947;0.526;0.105;0.368
ENST00000237247_90_90;0.909;1.0;0.769;0.538;0.269;0.077;0.737;0.684;0.895;0.947;0.5;0.111;0.316
ENST00000371037_90_90;0.864;0.769;1.0;0.583;0.409;0.083;0.882;0.824;0.842;0.895;0.526;0.118;0.333
ENST00000371039_90_90;0.591;0.538;0.583;1.0;0.389;0.053;0.75;0.8;0.632;0.6;0.667;0.154;0.333
ENST00000424320_90_90;0.364;0.269;0.409;0.389;1.0;0.0;0.533;0.571;0.444;0.421;0.25;0.25;0.667
ENST00000435165_90_90;0.136;0.077;0.083;0.053;0.0;1.0;0.125;0.062;0.05;0.1;0.25;0.0;0.0
ENSMUST00000066824_90_90;0.737;0.737;0.882;0.75;0.533;0.125;1.0;0.938;0.75;0.8;0.611;0.125;0.353
ENSMUST00000072481_90_90;0.684;0.684;0.824;0.8;0.571;0.062;0.938;1.0;0.789;0.75;0.556;0.133;0.375
ENSMUST00000080728_90_90;0.895;0.895;0.842;0.632;0.444;0.05;0.75;0.789;1.0;0.95;0.455;0.105;0.368
ENSMUST00000106882_90_90;0.947;0.947;0.895;0.6;0.421;0.1;0.8;0.75;0.95;1.0;0.5;0.1;0.35
ENSMUST00000149547_90_90;0.526;0.5;0.526;0.667;0.25;0.25;0.611;0.556;0.455;0.5;1.0;0.0;0.111
ENSMUST00000156596_90_90;0.105;0.111;0.118;0.154;0.25;0.0;0.125;0.133;0.105;0.1;0.0;1.0;0.286
ENSMUST00000183855_90_90;0.368;0.316;0.333;0.333;0.667;0.0;0.353;0.375;0.368;0.35;0.111;0.286;1.0
