;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.965;0.791;0.455;0.766;0.8;0.93;0.994;0.89;0.923;0.736;0.204
ENST00000318386_90_90;0.965;1.0;0.799;0.407;0.639;0.777;0.928;0.996;0.889;0.924;0.78;0.205
ENST00000429429_90_90;0.791;0.799;1.0;0.402;0.551;0.697;0.861;0.816;0.708;0.743;0.599;0.197
ENST00000480936_90_90;0.455;0.407;0.402;1.0;0.292;0.287;0.436;0.448;0.498;0.378;0.565;0.315
ENST00000483348_90_90;0.766;0.639;0.551;0.292;1.0;0.797;0.679;0.704;0.599;0.631;0.491;0.14
ENST00000488267_90_90;0.8;0.777;0.697;0.287;0.797;1.0;0.835;0.825;0.717;0.752;0.607;0.124
ENST00000489418_90_90;0.93;0.928;0.861;0.436;0.679;0.835;1.0;0.96;0.852;0.887;0.743;0.168
ENSMUST00000057551_90_90;0.994;0.996;0.816;0.448;0.704;0.825;0.96;1.0;0.856;0.934;0.702;0.178
ENSMUST00000075670_90_90;0.89;0.889;0.708;0.498;0.599;0.717;0.852;0.856;1.0;0.793;0.738;0.185
ENSMUST00000101354_90_90;0.923;0.924;0.743;0.378;0.631;0.752;0.887;0.934;0.793;1.0;0.639;0.113
ENSMUST00000139518_90_90;0.736;0.78;0.599;0.565;0.491;0.607;0.743;0.702;0.738;0.639;1.0;0.231
ENSMUST00000151081_90_90;0.204;0.205;0.197;0.315;0.14;0.124;0.168;0.178;0.185;0.113;0.231;1.0
