;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;0.884;1.0;1.0;0.967;0.421;0.416;0.248;0.268;0.248;0.243;0.248;0.248;0.253;0.255;0.268;0.248;0.242;0.242;0.243;0.215;0.242;0.191;0.192;0.242;0.172;0.242
transcript8_ENSRNOG00000031503;0.884;1.0;0.884;0.884;0.91;0.41;0.422;0.233;0.251;0.233;0.23;0.233;0.233;0.237;0.239;0.252;0.233;0.229;0.229;0.231;0.194;0.227;0.17;0.171;0.227;0.161;0.227
transcript36_MGP-PahariEiJ-G0020237;1.0;0.884;1.0;1.0;0.967;0.421;0.416;0.248;0.268;0.248;0.243;0.248;0.248;0.253;0.255;0.268;0.248;0.242;0.242;0.243;0.215;0.242;0.191;0.192;0.242;0.172;0.242
transcript37_MGP-PahariEiJ-G0020237;1.0;0.884;1.0;1.0;0.967;0.421;0.416;0.248;0.268;0.248;0.243;0.248;0.248;0.253;0.255;0.268;0.248;0.242;0.242;0.243;0.215;0.242;0.191;0.192;0.242;0.172;0.242
transcript37_ENSCGRG00001010245;0.967;0.91;0.967;0.967;1.0;0.407;0.418;0.258;0.278;0.258;0.253;0.258;0.258;0.262;0.264;0.278;0.258;0.253;0.253;0.254;0.222;0.251;0.198;0.199;0.251;0.177;0.251
transcript38_MGP-PahariEiJ-G0020237;0.421;0.41;0.421;0.421;0.407;1.0;0.974;0.104;0.112;0.104;0.105;0.104;0.104;0.106;0.107;0.113;0.104;0.104;0.104;0.105;0.093;0.101;0.068;0.068;0.101;0.031;0.101
transcript38_ENSCGRG00001010245;0.416;0.422;0.416;0.416;0.418;0.974;1.0;0.107;0.116;0.107;0.108;0.107;0.107;0.109;0.11;0.116;0.107;0.108;0.108;0.108;0.096;0.104;0.07;0.07;0.104;0.031;0.104
transcript32_ENSCGRG00015005362;0.248;0.233;0.248;0.248;0.258;0.104;0.107;1.0;0.922;1.0;0.891;1.0;1.0;0.982;0.974;0.874;0.95;0.852;0.852;0.889;0.76;0.976;0.74;0.742;0.976;0.902;0.976
transcript33_ENSCGRG00015005362;0.268;0.251;0.268;0.268;0.278;0.112;0.116;0.922;1.0;0.922;0.841;0.922;0.922;0.905;0.895;0.945;0.874;0.801;0.801;0.839;0.684;0.899;0.663;0.666;0.899;0.827;0.899
transcript22_ENSCGRG00000018457;0.248;0.233;0.248;0.248;0.258;0.104;0.107;1.0;0.922;1.0;0.891;1.0;1.0;0.982;0.974;0.874;0.95;0.852;0.852;0.889;0.76;0.976;0.74;0.742;0.976;0.902;0.976
transcript22_ENSPEMG00000024651;0.243;0.23;0.243;0.243;0.253;0.105;0.108;0.891;0.841;0.891;1.0;0.891;0.891;0.877;0.873;0.802;0.853;0.952;0.952;0.998;0.667;0.87;0.647;0.649;0.87;0.814;0.87
