;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;0.51;0.442;0.5;0.423;0.423;0.412;0.412;0.423;0.361;0.222;0.389;0.889;0.811;0.829;0.657;0.441;0.139;0.472;0.472;0.48;0.442;0.48;0.44;0.44;0.674;0.838;0.657;0.657;0.73;0.583
ENSCAFT00000010587_90_90;0.51;1.0;0.7;0.537;0.818;0.86;0.857;0.814;0.818;0.375;0.22;0.4;0.48;0.431;0.522;0.362;0.31;0.119;0.311;0.311;0.86;0.659;0.905;0.814;0.857;0.529;0.451;0.362;0.362;0.522;0.37
ENST00000360332_90_90;0.442;0.7;1.0;0.759;0.659;0.7;0.737;0.692;0.659;0.536;0.31;0.571;0.409;0.419;0.45;0.268;0.344;0.167;0.424;0.424;0.619;0.931;0.659;0.65;0.692;0.435;0.378;0.268;0.268;0.45;0.5
ENST00000374174_90_90;0.5;0.537;0.759;1.0;0.537;0.537;0.564;0.564;0.537;0.652;0.375;0.696;0.462;0.474;0.514;0.306;0.407;0.2;0.5;0.5;0.5;0.7;0.5;0.525;0.525;0.386;0.425;0.306;0.306;0.472;0.586
ENST00000374176_90_90;0.423;0.818;0.659;0.537;1.0;0.951;0.814;0.857;1.0;0.375;0.22;0.4;0.396;0.377;0.429;0.28;0.279;0.119;0.311;0.311;0.86;0.619;0.818;0.773;0.733;0.472;0.37;0.28;0.28;0.429;0.37
ENST00000374179_90_90;0.423;0.86;0.7;0.537;0.951;1.0;0.857;0.814;0.951;0.375;0.22;0.4;0.396;0.377;0.429;0.28;0.279;0.119;0.311;0.311;0.818;0.659;0.86;0.733;0.773;0.472;0.37;0.28;0.28;0.429;0.37
ENST00000374182_90_90;0.412;0.857;0.737;0.564;0.814;0.857;1.0;0.949;0.814;0.395;0.231;0.421;0.385;0.365;0.417;0.265;0.293;0.125;0.326;0.326;0.733;0.692;0.773;0.854;0.9;0.462;0.358;0.265;0.265;0.417;0.386
ENST00000374189_90_90;0.412;0.814;0.692;0.564;0.857;0.814;0.949;1.0;0.857;0.395;0.231;0.421;0.385;0.365;0.417;0.265;0.293;0.125;0.326;0.326;0.773;0.65;0.733;0.9;0.854;0.462;0.358;0.265;0.265;0.417;0.386
ENST00000395611_90_90;0.423;0.818;0.659;0.537;1.0;0.951;0.814;0.857;1.0;0.375;0.22;0.4;0.396;0.377;0.429;0.28;0.279;0.119;0.311;0.311;0.86;0.619;0.818;0.773;0.733;0.472;0.37;0.28;0.28;0.429;0.37
ENST00000426557_90_90;0.361;0.375;0.536;0.652;0.375;0.375;0.395;0.395;0.375;1.0;0.19;0.938;0.324;0.333;0.364;0.147;0.2;0.294;0.545;0.545;0.341;0.483;0.341;0.359;0.359;0.262;0.289;0.147;0.147;0.324;0.407
ENST00000429041_90_90;0.222;0.22;0.31;0.375;0.22;0.22;0.231;0.231;0.22;0.19;1.0;0.238;0.222;0.229;0.25;0.308;0.471;0.062;0.261;0.261;0.22;0.31;0.22;0.231;0.231;0.2;0.222;0.308;0.308;0.25;0.32
ENST00000432379_90_90;0.389;0.4;0.571;0.696;0.4;0.4;0.421;0.421;0.4;0.938;0.238;1.0;0.351;0.361;0.394;0.176;0.24;0.278;0.591;0.591;0.366;0.517;0.366;0.385;0.385;0.286;0.316;0.176;0.176;0.353;0.444
ENST00000229794_90_90;0.889;0.48;0.409;0.462;0.396;0.396;0.385;0.385;0.396;0.324;0.222;0.351;1.0;0.914;0.882;0.706;0.441;0.171;0.514;0.514;0.451;0.409;0.451;0.412;0.412;0.756;0.943;0.706;0.706;0.778;0.629
ENST00000229795_90_90;0.811;0.431;0.419;0.474;0.377;0.377;0.365;0.365;0.377;0.333;0.229;0.361;0.914;1.0;0.8;0.629;0.455;0.176;0.529;0.529;0.404;0.419;0.404;0.365;0.365;0.775;0.861;0.629;0.629;0.703;0.647
ENST00000310795_90_90;0.829;0.522;0.45;0.514;0.429;0.429;0.417;0.417;0.429;0.364;0.25;0.394;0.882;0.8;1.0;0.588;0.5;0.194;0.581;0.581;0.489;0.45;0.489;0.447;0.447;0.659;0.829;0.588;0.588;0.875;0.71
ENST00000468133_90_90;0.657;0.362;0.268;0.306;0.28;0.28;0.265;0.265;0.28;0.147;0.308;0.176;0.706;0.629;0.588;1.0;0.625;0.069;0.229;0.229;0.333;0.268;0.333;0.292;0.292;0.55;0.706;1.0;1.0;0.543;0.382
ENST00000472333_90_90;0.441;0.31;0.344;0.407;0.279;0.279;0.293;0.293;0.279;0.2;0.471;0.24;0.441;0.455;0.5;0.625;1.0;0.1;0.308;0.308;0.279;0.344;0.279;0.293;0.293;0.395;0.441;0.625;0.625;0.5;0.52
ENST00000474429_90_90;0.139;0.119;0.167;0.2;0.119;0.119;0.125;0.125;0.119;0.294;0.062;0.278;0.171;0.176;0.194;0.069;0.1;1.0;0.3;0.3;0.119;0.167;0.119;0.125;0.125;0.125;0.139;0.069;0.069;0.156;0.2
ENST00000491957_90_90;0.472;0.311;0.424;0.5;0.311;0.311;0.326;0.326;0.311;0.545;0.261;0.591;0.514;0.529;0.581;0.229;0.308;0.3;1.0;1.0;0.311;0.424;0.311;0.326;0.326;0.425;0.472;0.229;0.229;0.531;0.68
ENST00000622903_90_90;0.472;0.311;0.424;0.5;0.311;0.311;0.326;0.326;0.311;0.545;0.261;0.591;0.514;0.529;0.581;0.229;0.308;0.3;1.0;1.0;0.311;0.424;0.311;0.326;0.326;0.425;0.472;0.229;0.229;0.531;0.68
ENSMUST00000022504_90_90;0.48;0.86;0.619;0.5;0.86;0.818;0.733;0.773;0.86;0.341;0.22;0.366;0.451;0.404;0.489;0.333;0.279;0.119;0.311;0.311;1.0;0.659;0.951;0.857;0.814;0.5;0.423;0.333;0.333;0.489;0.37
ENSMUST00000111942_90_90;0.442;0.659;0.931;0.7;0.619;0.659;0.692;0.65;0.619;0.483;0.31;0.517;0.409;0.419;0.45;0.268;0.344;0.167;0.424;0.424;0.659;1.0;0.7;0.692;0.737;0.435;0.378;0.268;0.268;0.45;0.5
ENSMUST00000111943_90_90;0.48;0.905;0.659;0.5;0.818;0.86;0.773;0.733;0.818;0.341;0.22;0.366;0.451;0.404;0.489;0.333;0.279;0.119;0.311;0.311;0.951;0.7;1.0;0.814;0.857;0.5;0.423;0.333;0.333;0.489;0.37
ENSMUST00000111944_90_90;0.44;0.814;0.65;0.525;0.773;0.733;0.854;0.9;0.773;0.359;0.231;0.385;0.412;0.365;0.447;0.292;0.293;0.125;0.326;0.326;0.857;0.692;0.814;1.0;0.949;0.462;0.385;0.292;0.292;0.447;0.386
ENSMUST00000111945_90_90;0.44;0.857;0.692;0.525;0.733;0.773;0.9;0.854;0.733;0.359;0.231;0.385;0.412;0.365;0.447;0.292;0.293;0.125;0.326;0.326;0.814;0.737;0.857;0.949;1.0;0.462;0.385;0.292;0.292;0.447;0.386
ENSMUST00000004990_90_90;0.674;0.529;0.435;0.386;0.472;0.472;0.462;0.462;0.472;0.262;0.2;0.286;0.756;0.775;0.659;0.55;0.395;0.125;0.425;0.425;0.5;0.435;0.5;0.462;0.462;1.0;0.8;0.55;0.55;0.7;0.605
ENSMUST00000062694_90_90;0.838;0.451;0.378;0.425;0.37;0.37;0.358;0.358;0.37;0.289;0.222;0.316;0.943;0.861;0.829;0.706;0.441;0.139;0.472;0.472;0.423;0.378;0.423;0.385;0.385;0.8;1.0;0.706;0.706;0.829;0.676
ENSMUST00000114752_90_90;0.657;0.362;0.268;0.306;0.28;0.28;0.265;0.265;0.28;0.147;0.308;0.176;0.706;0.629;0.588;1.0;0.625;0.069;0.229;0.229;0.333;0.268;0.333;0.292;0.292;0.55;0.706;1.0;1.0;0.543;0.382
ENSMUST00000114754_90_90;0.657;0.362;0.268;0.306;0.28;0.28;0.265;0.265;0.28;0.147;0.308;0.176;0.706;0.629;0.588;1.0;0.625;0.069;0.229;0.229;0.333;0.268;0.333;0.292;0.292;0.55;0.706;1.0;1.0;0.543;0.382
ENSMUST00000114758_90_90;0.73;0.522;0.45;0.472;0.429;0.429;0.417;0.417;0.429;0.324;0.25;0.353;0.778;0.703;0.875;0.543;0.5;0.156;0.531;0.531;0.489;0.45;0.489;0.447;0.447;0.7;0.829;0.543;0.543;1.0;0.767
ENSMUST00000124886_90_90;0.583;0.37;0.5;0.586;0.37;0.37;0.386;0.386;0.37;0.407;0.32;0.444;0.629;0.647;0.71;0.382;0.52;0.2;0.68;0.68;0.37;0.5;0.37;0.386;0.386;0.605;0.676;0.382;0.382;0.767;1.0
