;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.935;0.826;0.978;0.918;0.606;0.857;0.714;0.549;0.574;0.833;0.513;0.513;0.569;0.771;0.542
transcript19_ppan;0.935;1.0;0.884;0.913;0.857;0.561;0.913;0.761;0.512;0.552;0.848;0.493;0.493;0.547;0.822;0.506
transcript20_ppan;0.826;0.884;1.0;0.804;0.755;0.485;0.804;0.854;0.451;0.5;0.739;0.446;0.446;0.492;0.791;0.446
transcript12_ptro;0.978;0.913;0.804;1.0;0.898;0.591;0.837;0.694;0.537;0.559;0.812;0.5;0.5;0.554;0.75;0.53
transcript12_hsap;0.918;0.857;0.755;0.898;1.0;0.662;0.938;0.792;0.593;0.535;0.765;0.481;0.481;0.529;0.706;0.529
transcript18_hsap;0.606;0.561;0.485;0.591;0.662;1.0;0.615;0.556;0.741;0.592;0.5;0.554;0.554;0.634;0.456;0.671
transcript19_hsap;0.857;0.913;0.804;0.837;0.938;0.615;1.0;0.844;0.556;0.514;0.776;0.462;0.462;0.507;0.75;0.494
transcript20_hsap;0.714;0.761;0.854;0.694;0.792;0.556;0.844;1.0;0.469;0.435;0.633;0.39;0.39;0.446;0.674;0.412
transcript21_hsap;0.549;0.512;0.451;0.537;0.593;0.741;0.556;0.469;1.0;0.651;0.464;0.744;0.744;0.612;0.429;0.918
transcript11_ggor;0.574;0.552;0.5;0.559;0.535;0.592;0.514;0.435;0.651;1.0;0.585;0.884;0.884;0.918;0.587;0.702
transcript12_ggor;0.833;0.848;0.739;0.812;0.765;0.5;0.776;0.633;0.464;0.585;1.0;0.521;0.521;0.581;0.884;0.459
transcript16_ggor;0.513;0.493;0.446;0.5;0.481;0.554;0.462;0.39;0.744;0.884;0.521;1.0;1.0;0.812;0.521;0.798
transcript17_ggor;0.513;0.493;0.446;0.5;0.481;0.554;0.462;0.39;0.744;0.884;0.521;1.0;1.0;0.812;0.521;0.798
transcript18_ggor;0.569;0.547;0.492;0.554;0.529;0.634;0.507;0.446;0.612;0.918;0.581;0.812;0.812;1.0;0.583;0.643
transcript19_ggor;0.771;0.822;0.791;0.75;0.706;0.456;0.75;0.674;0.429;0.587;0.884;0.521;0.521;0.583;1.0;0.424
transcript8_pabe;0.542;0.506;0.446;0.53;0.529;0.671;0.494;0.412;0.918;0.702;0.459;0.798;0.798;0.643;0.424;1.0
