;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000016185_90_90;ENST00000617070_90_90:ENST00000617991_90_90:ENST00000623597_90_90:ENST00000623893_90_90:ENSMUST00000064664_90_90:ENSMUST00000064679_90_90;0.857:0.857:0.857:0.7140000000000001:0.375:0.5
1;ENST00000617070_90_90;ENSCAFT00000016185_90_90:ENST00000617991_90_90:ENST00000623597_90_90:ENST00000623893_90_90:ENSMUST00000064664_90_90:ENSMUST00000064679_90_90;0.857:1.0:1.0:0.833:0.429:0.5710000000000001
2;ENST00000617991_90_90;ENSCAFT00000016185_90_90:ENST00000617070_90_90:ENST00000623597_90_90:ENST00000623893_90_90:ENSMUST00000064664_90_90:ENSMUST00000064679_90_90;0.857:1.0:1.0:0.833:0.429:0.5710000000000001
3;ENST00000622969_90_90;ENSMUST00000136247_90_90;0.33299999999999996
4;ENST00000623597_90_90;ENSCAFT00000016185_90_90:ENST00000617070_90_90:ENST00000617991_90_90:ENST00000623893_90_90:ENSMUST00000064664_90_90:ENSMUST00000064679_90_90;0.857:1.0:1.0:0.833:0.429:0.5710000000000001
5;ENST00000623893_90_90;ENSCAFT00000016185_90_90:ENST00000617070_90_90:ENST00000617991_90_90:ENST00000623597_90_90:ENSMUST00000064664_90_90:ENSMUST00000064679_90_90;0.7140000000000001:0.833:0.833:0.833:0.5:0.429
6;ENSMUST00000064664_90_90;ENSCAFT00000016185_90_90:ENST00000617070_90_90:ENST00000617991_90_90:ENST00000623597_90_90:ENST00000623893_90_90:ENSMUST00000064679_90_90;0.375:0.429:0.429:0.429:0.5:0.8
7;ENSMUST00000064679_90_90;ENSCAFT00000016185_90_90:ENST00000617070_90_90:ENST00000617991_90_90:ENST00000623597_90_90:ENST00000623893_90_90:ENSMUST00000064664_90_90;0.5:0.5710000000000001:0.5710000000000001:0.5710000000000001:0.429:0.8
8;ENSMUST00000129905_90_90;;
9;ENSMUST00000136247_90_90;ENST00000622969_90_90;0.33299999999999996
