id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript7_ENSMPUG00000020072;null;transcript12_ENSECAG00000007947|0.825&transcript23_ENSECAG00000007947|0.825&transcript31_ENSECAG00000007947|0.825&transcript7_ENSCCNG00000000226|0.904;null;0
transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947|1.0&transcript31_ENSECAG00000007947|1.0;transcript7_ENSMPUG00000020072|0.825&transcript7_ENSSTOG00000019743|0.256&transcript7_ENSCCNG00000000226|0.916;null;0
transcript23_ENSECAG00000007947;transcript12_ENSECAG00000007947|1.0&transcript31_ENSECAG00000007947|1.0;transcript7_ENSMPUG00000020072|0.825&transcript12_ENSMLUG00000027828|0.818&transcript7_ENSCCNG00000000226|0.916;null;0
transcript31_ENSECAG00000007947;transcript12_ENSECAG00000007947|1.0&transcript23_ENSECAG00000007947|1.0;transcript7_ENSMPUG00000020072|0.825&transcript12_ENSMLUG00000027828|0.818&transcript7_ENSCCNG00000000226|0.916;null;0
transcript12_ENSMLUG00000027828;transcript15_ENSMLUG00000027828|0.977;transcript23_ENSECAG00000007947|0.818&transcript31_ENSECAG00000007947|0.818&transcript7_ENSCCNG00000000226|0.886;null;0
transcript15_ENSMLUG00000027828;transcript12_ENSMLUG00000027828|0.977;null;null;0
transcript16_ENSMLUG00000027828;transcript25_ENSMLUG00000027828|0.971;null;null;0
transcript25_ENSMLUG00000027828;transcript16_ENSMLUG00000027828|0.971;transcript7_ENSSTOG00000019743|0.311;null;0
transcript7_ENSSTOG00000019743;null;transcript12_ENSECAG00000007947|0.256&transcript25_ENSMLUG00000027828|0.311;null;0
transcript7_ENSCCNG00000000226;null;transcript7_ENSMPUG00000020072|0.904&transcript12_ENSECAG00000007947|0.916&transcript23_ENSECAG00000007947|0.916&transcript31_ENSECAG00000007947|0.916&transcript12_ENSMLUG00000027828|0.886;null;0
transcript25_ENSMPUG00000020072;transcript28_ENSMPUG00000020072|0.958;transcript32_ENSECAG00000007947|0.824;null;1
transcript32_ENSECAG00000007947;null;transcript25_ENSMPUG00000020072|0.824;null;1
transcript28_ENSMPUG00000020072;transcript25_ENSMPUG00000020072|0.958;null;null;1
transcript33_ENSECAG00000007947;null;null;null;2
transcript7_ENSMLUG00000027828;null;null;null;3
transcript26_ENSMLUG00000027828;null;null;null;4
transcript27_ENSMLUG00000027828;null;null;null;5
