;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.955;0.97;0.96;0.958;0.959;0.941;0.94;0.986;0.957;0.957
transcript9_MGP-PahariEiJ-G0020237;0.955;1.0;0.925;0.995;0.997;0.914;0.896;0.895;0.942;0.913;0.913
transcript37_MGP-PahariEiJ-G0020237;0.97;0.925;1.0;0.93;0.928;0.989;0.971;0.97;0.956;0.987;0.987
transcript39_MGP-PahariEiJ-G0020237;0.96;0.995;0.93;1.0;0.999;0.919;0.9;0.899;0.946;0.917;0.917
transcript49_MGP-PahariEiJ-G0020237;0.958;0.997;0.928;0.999;1.0;0.917;0.899;0.898;0.945;0.916;0.916
transcript50_MGP-PahariEiJ-G0020237;0.959;0.914;0.989;0.919;0.917;1.0;0.96;0.959;0.946;0.976;0.976
transcript51_MGP-PahariEiJ-G0020237;0.941;0.896;0.971;0.9;0.899;0.96;1.0;0.999;0.928;0.958;0.958
transcript52_MGP-PahariEiJ-G0020237;0.94;0.895;0.97;0.899;0.898;0.959;0.999;1.0;0.927;0.957;0.957
transcript36_ENSRNOG00000031503;0.986;0.942;0.956;0.946;0.945;0.946;0.928;0.927;1.0;0.97;0.97
transcript37_ENSRNOG00000031503;0.957;0.913;0.987;0.917;0.916;0.976;0.958;0.957;0.97;1.0;1.0
transcript44_ENSRNOG00000031503;0.957;0.913;0.987;0.917;0.916;0.976;0.958;0.957;0.97;1.0;1.0
