;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;1.0;1.0;0.917;0.25;0.333;0.083;0.5;0.923;0.923;0.923;0.846;0.846
ENST00000389384_90_90;1.0;1.0;0.857;0.917;0.25;0.333;0.083;0.462;1.0;0.923;1.0;0.846;0.833
ENST00000454077_90_90;1.0;0.857;1.0;0.786;0.214;0.286;0.071;0.4;0.923;1.0;0.923;0.923;0.769
ENST00000587097_90_90;0.917;0.917;0.786;1.0;0.273;0.364;0.091;0.385;0.917;0.846;0.917;0.769;0.75
ENST00000589805_90_90;0.25;0.25;0.214;0.273;1.0;0.75;0.0;0.0;0.25;0.231;0.25;0.154;0.083
ENST00000590169_90_90;0.333;0.333;0.286;0.364;0.75;1.0;0.0;0.0;0.333;0.308;0.333;0.231;0.167
ENST00000590537_90_90;0.083;0.083;0.071;0.091;0.0;0.0;1.0;0.143;0.083;0.077;0.083;0.083;0.1
ENST00000591295_90_90;0.5;0.462;0.4;0.385;0.0;0.0;0.143;1.0;0.5;0.462;0.5;0.5;0.6
ENSMUST00000073234_90_90;0.923;1.0;0.923;0.917;0.25;0.333;0.083;0.5;1.0;0.857;1.0;0.786;0.769
ENSMUST00000107132_90_90;0.923;0.923;1.0;0.846;0.231;0.308;0.077;0.462;0.857;1.0;0.857;0.929;0.667
ENSMUST00000107134_90_90;0.923;1.0;0.923;0.917;0.25;0.333;0.083;0.5;1.0;0.857;1.0;0.786;0.769
ENSMUST00000137387_90_90;0.846;0.846;0.923;0.769;0.154;0.231;0.083;0.5;0.786;0.929;0.786;1.0;0.714
ENSMUST00000141516_90_90;0.846;0.833;0.769;0.75;0.083;0.167;0.1;0.6;0.769;0.667;0.769;0.714;1.0
