;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;1.0;0.959;0.302;0.151;0.361;0.433;0.961;0.122;0.898;0.866;0.862;0.378;0.101;0.075;0.075
ENST00000335135_90_90;0.959;1.0;0.302;0.151;0.361;0.433;0.961;0.122;0.936;0.835;0.862;0.378;0.101;0.075;0.075
ENST00000526716_90_90;0.302;0.302;1.0;0.0;0.0;0.684;0.294;0.0;0.318;0.274;0.281;0.591;0.0;0.0;0.0
ENST00000526974_90_90;0.151;0.151;0.0;1.0;0.371;0.0;0.142;0.764;0.139;0.146;0.157;0.0;0.674;0.496;0.496
ENST00000528027_90_90;0.361;0.361;0.0;0.371;1.0;0.0;0.343;0.296;0.297;0.352;0.371;0.0;0.249;0.185;0.185
ENST00000528712_90_90;0.433;0.433;0.684;0.0;0.0;1.0;0.42;0.0;0.458;0.373;0.383;0.787;0.0;0.0;0.0
ENST00000532059_90_90;0.961;0.961;0.294;0.142;0.343;0.42;1.0;0.114;0.901;0.871;0.835;0.368;0.095;0.071;0.071
ENST00000532977_90_90;0.122;0.122;0.0;0.764;0.296;0.0;0.114;1.0;0.108;0.118;0.127;0.0;0.889;0.654;0.654
ENST00000622443_90_90;0.898;0.936;0.318;0.139;0.297;0.458;0.901;0.108;1.0;0.782;0.805;0.393;0.086;0.058;0.058
ENSMUST00000067417_90_90;0.866;0.835;0.274;0.146;0.352;0.373;0.871;0.118;0.782;1.0;0.959;0.427;0.098;0.073;0.073
ENSMUST00000118022_90_90;0.862;0.862;0.281;0.157;0.371;0.383;0.835;0.127;0.805;0.959;1.0;0.442;0.105;0.078;0.078
ENSMUST00000121312_90_90;0.378;0.378;0.591;0.0;0.0;0.787;0.368;0.0;0.393;0.427;0.442;1.0;0.0;0.0;0.0
ENSMUST00000132122_90_90;0.101;0.101;0.0;0.674;0.249;0.0;0.095;0.889;0.086;0.098;0.105;0.0;1.0;0.736;0.736
ENSMUST00000137244_90_90;0.075;0.075;0.0;0.496;0.185;0.0;0.071;0.654;0.058;0.073;0.078;0.0;0.736;1.0;1.0
ENSMUST00000156782_90_90;0.075;0.075;0.0;0.496;0.185;0.0;0.071;0.654;0.058;0.073;0.078;0.0;0.736;1.0;1.0
