;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000018602_90_90;ENSMUST00000212480_90_90:ENSMUST00000079491_90_90:ENST00000404234_90_90:ENST00000248933_90_90;0.995:0.97:0.958:0.9740000000000001
1;ENST00000248933_90_90;ENSMUST00000212480_90_90:ENSMUST00000079491_90_90:ENSCAFT00000018602_90_90:ENST00000404234_90_90;0.971:0.9420000000000001:0.9740000000000001:0.985
2;ENST00000343706_90_90;ENSMUST00000197425_90_90:ENSMUST00000212758_90_90;0.8740000000000001:0.937
3;ENST00000360929_90_90;;
4;ENST00000402979_90_90;ENSMUST00000200575_90_90:ENST00000403121_90_90;0.762:0.853
5;ENST00000403121_90_90;ENSMUST00000200575_90_90:ENST00000402979_90_90;0.59:0.853
6;ENST00000404234_90_90;ENSMUST00000212480_90_90:ENSMUST00000079491_90_90:ENSCAFT00000018602_90_90:ENST00000248933_90_90;0.9420000000000001:0.971:0.958:0.985
7;ENST00000529632_90_90;;
8;ENST00000629590_90_90;;
9;ENSMUST00000075387_90_90;;
10;ENSMUST00000079491_90_90;ENSMUST00000212480_90_90:ENSCAFT00000018602_90_90:ENST00000404234_90_90:ENST00000248933_90_90;0.976:0.97:0.971:0.9420000000000001
11;ENSMUST00000197425_90_90;ENST00000343706_90_90:ENSMUST00000212758_90_90;0.8740000000000001:0.941
12;ENSMUST00000200575_90_90;ENST00000402979_90_90:ENST00000403121_90_90;0.762:0.59
13;ENSMUST00000212480_90_90;ENSMUST00000079491_90_90:ENSCAFT00000018602_90_90:ENST00000404234_90_90:ENST00000248933_90_90;0.976:0.995:0.9420000000000001:0.971
14;ENSMUST00000212758_90_90;ENSMUST00000197425_90_90:ENST00000343706_90_90;0.941:0.937
