;ENSCAFT00000010991_90_90;ENSCAFT00000018912_90_90;ENST00000400304_90_90;ENST00000400305_90_90;ENST00000400308_90_90;ENST00000400309_90_90;ENST00000400310_90_90;ENST00000400314_90_90;ENST00000449640_90_90;ENST00000549265_90_90;ENSMUST00000001148_90_90;ENSMUST00000092393_90_90;ENSMUST00000105411_90_90;ENSMUST00000168465_90_90;ENSMUST00000173854_90_90
ENSCAFT00000010991_90_90;1.0;0.632;0.526;0.556;0.526;0.579;0.611;0.632;0.526;0.062;0.722;0.438;0.667;0.722;0.438
ENSCAFT00000018912_90_90;0.632;1.0;0.556;0.588;0.556;0.611;0.647;0.667;0.556;0.067;0.765;0.467;0.706;0.765;0.467
ENST00000400304_90_90;0.526;0.556;1.0;0.667;0.625;0.688;0.529;0.647;1.0;0.077;0.647;0.538;0.688;0.647;0.538
ENST00000400305_90_90;0.556;0.588;0.667;1.0;0.786;0.733;0.667;0.8;0.667;0.083;0.688;0.357;0.625;0.688;0.357
ENST00000400308_90_90;0.526;0.556;0.625;0.786;1.0;0.929;0.733;0.867;0.625;0.077;0.647;0.333;0.688;0.647;0.333
ENST00000400309_90_90;0.579;0.611;0.688;0.733;0.929;1.0;0.8;0.933;0.688;0.071;0.706;0.4;0.75;0.706;0.4
ENST00000400310_90_90;0.611;0.647;0.529;0.667;0.733;0.8;1.0;0.867;0.529;0.077;0.647;0.429;0.588;0.647;0.429
ENST00000400314_90_90;0.632;0.667;0.647;0.8;0.867;0.933;0.867;1.0;0.647;0.067;0.765;0.375;0.706;0.765;0.375
ENST00000449640_90_90;0.526;0.556;1.0;0.667;0.625;0.688;0.529;0.647;1.0;0.077;0.647;0.538;0.688;0.647;0.538
ENST00000549265_90_90;0.062;0.067;0.077;0.083;0.077;0.071;0.077;0.067;0.077;1.0;0.067;0.143;0.071;0.067;0.0
ENSMUST00000001148_90_90;0.722;0.765;0.647;0.688;0.647;0.706;0.647;0.765;0.647;0.067;1.0;0.467;0.933;1.0;0.467
ENSMUST00000092393_90_90;0.438;0.467;0.538;0.357;0.333;0.4;0.429;0.375;0.538;0.143;0.467;1.0;0.5;0.467;0.556
ENSMUST00000105411_90_90;0.667;0.706;0.688;0.625;0.688;0.75;0.588;0.706;0.688;0.071;0.933;0.5;1.0;0.933;0.5
ENSMUST00000168465_90_90;0.722;0.765;0.647;0.688;0.647;0.706;0.647;0.765;0.647;0.067;1.0;0.467;0.933;1.0;0.467
ENSMUST00000173854_90_90;0.438;0.467;0.538;0.357;0.333;0.4;0.429;0.375;0.538;0.0;0.467;0.556;0.5;0.467;1.0
