;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000017386_90_90;ENSMUST00000162364_90_90:ENST00000323303_90_90;1.0:1.0
1;ENST00000233892_90_90;ENSMUST00000162553_90_90:ENST00000409360_90_90;0.965:1.0
2;ENST00000323303_90_90;ENSCAFT00000017386_90_90:ENSMUST00000162364_90_90;1.0:1.0
3;ENST00000409355_90_90;;
4;ENST00000409360_90_90;ENSMUST00000162553_90_90:ENST00000233892_90_90;0.965:1.0
5;ENST00000409916_90_90;;
6;ENST00000417097_90_90;ENSMUST00000161122_90_90;1.0
7;ENST00000448447_90_90;ENSMUST00000159311_90_90;1.0
8;ENSMUST00000027122_90_90;;
9;ENSMUST00000159311_90_90;ENST00000448447_90_90;1.0
10;ENSMUST00000161122_90_90;ENST00000417097_90_90;1.0
11;ENSMUST00000162364_90_90;ENSCAFT00000017386_90_90:ENST00000323303_90_90;1.0:1.0
12;ENSMUST00000162553_90_90;ENST00000233892_90_90:ENST00000409360_90_90;0.965:0.965
