;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.875;0.438;0.688;0.625;0.812;0.125;0.688;0.938;0.938;0.938;1.0;0.312;0.25
ENST00000342203_90_90;0.875;1.0;0.333;0.824;0.667;0.833;0.053;0.824;0.824;0.824;0.824;0.882;0.333;0.267
ENST00000422026_90_90;0.438;0.333;1.0;0.167;0.333;0.353;0.0;0.167;0.438;0.438;0.438;0.412;0.714;0.571
ENST00000437941_90_90;0.688;0.824;0.167;1.0;0.588;0.667;0.062;1.0;0.647;0.647;0.647;0.706;0.133;0.067
ENST00000476905_90_90;0.625;0.667;0.333;0.588;1.0;0.706;0.0;0.588;0.588;0.588;0.588;0.647;0.333;0.25
ENST00000481102_90_90;0.812;0.833;0.353;0.667;0.706;1.0;0.056;0.667;0.765;0.765;0.765;0.824;0.357;0.286
ENST00000603677_90_90;0.125;0.053;0.0;0.062;0.0;0.056;1.0;0.062;0.125;0.125;0.125;0.118;0.0;0.0
ENST00000605755_90_90;0.688;0.824;0.167;1.0;0.588;0.667;0.062;1.0;0.647;0.647;0.647;0.706;0.133;0.067
ENSMUST00000039021_90_90;0.938;0.824;0.438;0.647;0.588;0.765;0.125;0.647;1.0;1.0;1.0;0.944;0.294;0.235
ENSMUST00000106149_90_90;0.938;0.824;0.438;0.647;0.588;0.765;0.125;0.647;1.0;1.0;1.0;0.944;0.294;0.235
ENSMUST00000106151_90_90;0.938;0.824;0.438;0.647;0.588;0.765;0.125;0.647;1.0;1.0;1.0;0.944;0.294;0.235
ENSMUST00000106153_90_90;1.0;0.882;0.412;0.706;0.647;0.824;0.118;0.706;0.944;0.944;0.944;1.0;0.278;0.222
ENSMUST00000129978_90_90;0.312;0.333;0.714;0.133;0.333;0.357;0.0;0.133;0.294;0.294;0.294;0.278;1.0;0.8
ENSMUST00000149262_90_90;0.25;0.267;0.571;0.067;0.25;0.286;0.0;0.067;0.235;0.235;0.235;0.222;0.8;1.0
