;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.764;0.945;0.873;0.961;0.961;0.919;0.919;0.973;0.964;0.824;0.964;0.964
transcript47_ENSRNOG00000031503;0.764;1.0;0.945;0.873;0.782;0.78;0.676;0.676;0.794;0.73;0.802;0.73;0.73
transcript47_ENSMUGG00000013649;0.945;0.945;1.0;0.926;1.0;1.0;0.926;0.926;1.0;1.0;1.0;1.0;1.0
transcript47_ENSPEMG00000024651;0.873;0.873;0.926;1.0;0.926;0.925;1.0;1.0;0.913;0.926;0.926;0.926;0.926
transcript20_ENSMUGG00000013649;0.961;0.782;1.0;0.926;1.0;1.0;0.948;0.948;1.0;1.0;0.959;1.0;1.0
transcript20_ENSMUGG00000013592;0.961;0.78;1.0;0.925;1.0;1.0;0.947;0.947;1.0;1.0;0.958;1.0;1.0
transcript19_ENSPEMG00000024651;0.919;0.676;0.926;1.0;0.948;0.947;1.0;1.0;0.939;0.953;0.817;0.953;0.953
transcript38_ENSPEMG00000024651;0.919;0.676;0.926;1.0;0.948;0.947;1.0;1.0;0.939;0.953;0.817;0.953;0.953
transcript27_ENSNGAG00000018584;0.973;0.794;1.0;0.913;1.0;1.0;0.939;0.939;1.0;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;0.964;0.73;1.0;0.926;1.0;1.0;0.953;0.953;1.0;1.0;0.856;1.0;1.0
transcript24_ENSSTOG00000019743;0.824;0.802;1.0;0.926;0.959;0.958;0.817;0.817;1.0;0.856;1.0;0.856;0.856
transcript25_ENSSTOG00000019743;0.964;0.73;1.0;0.926;1.0;1.0;0.953;0.953;1.0;1.0;0.856;1.0;1.0
transcript32_ENSSTOG00000019743;0.964;0.73;1.0;0.926;1.0;1.0;0.953;0.953;1.0;1.0;0.856;1.0;1.0
