;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.538;0.538;0.077;0.538;0.286;0.538;0.583;0.385;0.538;0.538;0.385;0.0;0.273
ENSCAFT00000043901_90_90;0.538;1.0;1.0;0.333;1.0;0.6;1.0;0.417;0.778;0.8;0.8;0.6;0.091;0.333
ENST00000256953_90_90;0.538;1.0;1.0;0.333;1.0;0.6;1.0;0.417;0.778;0.8;0.8;0.6;0.091;0.333
ENST00000393736_90_90;0.077;0.333;0.333;1.0;0.333;0.429;0.333;0.1;0.25;0.2;0.2;0.111;0.2;0.0
ENST00000536465_90_90;0.538;1.0;1.0;0.333;1.0;0.6;1.0;0.417;0.778;0.8;0.8;0.6;0.091;0.333
ENST00000537647_90_90;0.286;0.6;0.6;0.429;0.6;1.0;0.6;0.364;0.4;0.455;0.455;0.273;0.111;0.111
ENST00000538313_90_90;0.538;1.0;1.0;0.333;1.0;0.6;1.0;0.417;0.778;0.8;0.8;0.6;0.091;0.333
ENST00000545567_90_90;0.583;0.417;0.417;0.1;0.417;0.364;0.417;1.0;0.25;0.417;0.417;0.25;0.0;0.222
ENST00000546331_90_90;0.385;0.778;0.778;0.25;0.778;0.4;0.778;0.25;1.0;0.6;0.6;0.75;0.111;0.429
ENSMUST00000032347_90_90;0.538;0.8;0.8;0.2;0.8;0.455;0.8;0.417;0.6;1.0;1.0;0.778;0.2;0.333
ENSMUST00000117919_90_90;0.538;0.8;0.8;0.2;0.8;0.455;0.8;0.417;0.6;1.0;1.0;0.778;0.2;0.333
ENSMUST00000119610_90_90;0.385;0.6;0.6;0.111;0.6;0.273;0.6;0.25;0.75;0.778;0.778;1.0;0.25;0.429
ENSMUST00000149100_90_90;0.0;0.091;0.091;0.2;0.091;0.111;0.091;0.0;0.111;0.2;0.2;0.25;1.0;0.0
ENSMUST00000203003_90_90;0.273;0.333;0.333;0.0;0.333;0.111;0.333;0.222;0.429;0.333;0.333;0.429;0.0;1.0
