;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000023220_90_90;ENST00000248450_90_90:ENST00000444053_90_90:ENSMUST00000006462_90_90:ENSMUST00000178235_90_90;0.9229999999999999:0.9229999999999999:1.0:1.0
1;ENST00000248450_90_90;ENSCAFT00000023220_90_90:ENST00000444053_90_90:ENSMUST00000006462_90_90:ENSMUST00000178235_90_90;0.9229999999999999:0.9329999999999999:0.929:0.867
2;ENST00000420660_90_90;;
3;ENST00000422731_90_90;;
4;ENST00000444053_90_90;ENSCAFT00000023220_90_90:ENST00000248450_90_90:ENSMUST00000006462_90_90:ENSMUST00000178235_90_90;0.9229999999999999:0.9329999999999999:0.867:0.9329999999999999
5;ENST00000447885_90_90;;
6;ENSMUST00000006462_90_90;ENSCAFT00000023220_90_90:ENST00000248450_90_90:ENST00000444053_90_90:ENSMUST00000178235_90_90;1.0:0.929:0.867:0.938
7;ENSMUST00000178235_90_90;ENSCAFT00000023220_90_90:ENST00000248450_90_90:ENST00000444053_90_90:ENSMUST00000006462_90_90;1.0:0.867:0.9329999999999999:0.938
8;ENSMUST00000187046_90_90;;
9;ENSMUST00000190008_90_90;;
