;ENSCAFT00000008733_90_90;ENST00000323039_90_90;ENST00000348817_90_90;ENST00000430012_90_90;ENST00000593685_90_90;ENST00000597639_90_90;ENST00000600611_90_90;ENST00000601972_90_90;ENSMUST00000085901_90_90;ENSMUST00000172467_90_90;ENSMUST00000172761_90_90
ENSCAFT00000008733_90_90;1.0;0.852;0.888;0.902;0.852;0.888;0.264;0.189;0.855;0.942;0.905
ENST00000323039_90_90;0.852;1.0;0.955;0.936;1.0;0.955;0.275;0.193;0.997;0.91;0.933
ENST00000348817_90_90;0.888;0.955;1.0;0.98;0.955;1.0;0.287;0.202;0.952;0.87;0.977
ENST00000430012_90_90;0.902;0.936;0.98;1.0;0.936;0.98;0.293;0.206;0.933;0.852;0.997
ENST00000593685_90_90;0.852;1.0;0.955;0.936;1.0;0.955;0.275;0.193;0.997;0.91;0.933
ENST00000597639_90_90;0.888;0.955;1.0;0.98;0.955;1.0;0.287;0.202;0.952;0.87;0.977
ENST00000600611_90_90;0.264;0.275;0.287;0.293;0.275;0.287;1.0;0.668;0.272;0.249;0.291
ENST00000601972_90_90;0.189;0.193;0.202;0.206;0.193;0.202;0.668;1.0;0.195;0.178;0.208
ENSMUST00000085901_90_90;0.855;0.997;0.952;0.933;0.997;0.952;0.272;0.195;1.0;0.913;0.936
ENSMUST00000172467_90_90;0.942;0.91;0.87;0.852;0.91;0.87;0.249;0.178;0.913;1.0;0.855
ENSMUST00000172761_90_90;0.905;0.933;0.977;0.997;0.933;0.977;0.291;0.208;0.936;0.855;1.0
