;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.981;0.963;0.963;0.944;0.519;1.0;0.944;1.0;0.6;0.596;0.607;0.561;0.544;0.382;0.554;0.536;0.912;0.929;0.519;0.964
transcript21_ENSMUNG00000007775;0.981;1.0;0.981;0.981;0.963;0.537;0.981;0.963;0.981;0.589;0.614;0.625;0.579;0.561;0.4;0.571;0.554;0.93;0.946;0.537;0.946
transcript23_ENSMUNG00000007775;0.963;0.981;1.0;0.963;0.981;0.547;0.963;0.944;0.963;0.6;0.625;0.636;0.589;0.571;0.407;0.582;0.564;0.912;0.964;0.547;0.929
transcript25_ENSMUNG00000007775;0.963;0.981;0.963;1.0;0.944;0.519;0.963;0.944;0.963;0.571;0.596;0.607;0.561;0.544;0.382;0.554;0.536;0.912;0.929;0.519;0.929
transcript26_ENSMUNG00000007775;0.944;0.963;0.981;0.944;1.0;0.558;0.944;0.926;0.944;0.582;0.607;0.618;0.571;0.554;0.389;0.564;0.545;0.895;0.945;0.558;0.911
transcript30_ENSMUNG00000007775;0.519;0.537;0.547;0.519;0.558;1.0;0.519;0.5;0.519;0.422;0.457;0.467;0.413;0.391;0.677;0.4;0.378;0.491;0.527;1.0;0.5
transcript31_ENSMUNG00000007775;1.0;0.981;0.963;0.963;0.944;0.519;1.0;0.944;1.0;0.6;0.596;0.607;0.561;0.544;0.382;0.554;0.536;0.912;0.929;0.519;0.964
transcript32_ENSMUNG00000007775;0.944;0.963;0.944;0.944;0.926;0.5;0.944;1.0;0.944;0.554;0.579;0.589;0.544;0.526;0.364;0.536;0.545;0.895;0.911;0.5;0.911
transcript33_ENSMUNG00000007775;1.0;0.981;0.963;0.963;0.944;0.519;1.0;0.944;1.0;0.6;0.596;0.607;0.561;0.544;0.382;0.554;0.536;0.912;0.929;0.519;0.964
transcript9_ENSMUNG00000002377;0.6;0.589;0.6;0.571;0.582;0.422;0.6;0.554;0.6;1.0;0.921;0.946;0.919;0.892;0.526;0.865;0.838;0.596;0.636;0.422;0.636
transcript13_ENSMUNG00000002377;0.596;0.614;0.625;0.596;0.607;0.457;0.596;0.579;0.596;0.921;1.0;0.974;0.947;0.921;0.605;0.895;0.868;0.649;0.661;0.457;0.632
transcript23_ENSMUNG00000002377;0.607;0.625;0.636;0.607;0.618;0.467;0.607;0.589;0.607;0.946;0.974;1.0;0.921;0.895;0.579;0.919;0.892;0.632;0.673;0.467;0.643
transcript27_ENSMUNG00000002377;0.561;0.579;0.589;0.561;0.571;0.413;0.561;0.544;0.561;0.919;0.947;0.921;1.0;0.972;0.553;0.842;0.816;0.614;0.625;0.413;0.596
transcript35_ENSMUNG00000002377;0.544;0.561;0.571;0.544;0.554;0.391;0.544;0.526;0.544;0.892;0.921;0.895;0.972;1.0;0.526;0.816;0.789;0.596;0.607;0.391;0.579
transcript36_ENSMUNG00000002377;0.382;0.4;0.407;0.382;0.389;0.677;0.382;0.364;0.382;0.526;0.605;0.579;0.553;0.526;1.0;0.5;0.474;0.386;0.393;0.677;0.368
transcript37_ENSMUNG00000002377;0.554;0.571;0.582;0.554;0.564;0.4;0.554;0.536;0.554;0.865;0.895;0.919;0.842;0.816;0.5;1.0;0.971;0.579;0.618;0.4;0.589
transcript38_ENSMUNG00000002377;0.536;0.554;0.564;0.536;0.545;0.378;0.536;0.545;0.536;0.838;0.868;0.892;0.816;0.789;0.474;0.971;1.0;0.561;0.6;0.378;0.571
transcript10_ENSMUNG00000002391;0.912;0.93;0.912;0.912;0.895;0.491;0.912;0.895;0.912;0.596;0.649;0.632;0.614;0.596;0.386;0.579;0.561;1.0;0.947;0.491;0.947
transcript23_ENSMUNG00000002391;0.929;0.946;0.964;0.929;0.945;0.527;0.929;0.911;0.929;0.636;0.661;0.673;0.625;0.607;0.393;0.618;0.6;0.947;1.0;0.527;0.964
transcript30_ENSMUNG00000002391;0.519;0.537;0.547;0.519;0.558;1.0;0.519;0.5;0.519;0.422;0.457;0.467;0.413;0.391;0.677;0.4;0.378;0.491;0.527;1.0;0.5
transcript33_ENSMUNG00000002391;0.964;0.946;0.929;0.929;0.911;0.5;0.964;0.911;0.964;0.636;0.632;0.643;0.596;0.579;0.368;0.589;0.571;0.947;0.964;0.5;1.0
