;transcript6_ENSMPUG00000020072;transcript8_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript8_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.586;0.887;0.995;0.995;1.0;0.954;0.954;0.683;0.881;0.887;1.0;0.683;0.683;0.871;0.954
transcript8_ENSMPUG00000020072;0.586;1.0;0.5;0.581;0.591;0.586;0.567;0.567;0.451;0.495;0.5;0.586;0.451;0.451;0.485;0.567
transcript10_ENSMPUG00000020072;0.887;0.5;1.0;0.881;0.892;0.887;0.933;0.933;0.593;0.994;1.0;0.887;0.593;0.593;0.851;0.933
transcript13_ENSMPUG00000020072;0.995;0.581;0.881;1.0;0.989;0.995;0.948;0.948;0.686;0.876;0.881;0.995;0.686;0.686;0.866;0.948
transcript4_ENSECAG00000007947;0.995;0.591;0.892;0.989;1.0;0.997;0.959;0.959;0.689;0.888;0.891;0.997;0.689;0.689;0.874;0.959
transcript6_ENSECAG00000007947;1.0;0.586;0.887;0.995;0.997;1.0;0.956;0.956;0.687;0.885;0.888;1.0;0.687;0.687;0.872;0.956
transcript7_ENSECAG00000007947;0.954;0.567;0.933;0.948;0.959;0.956;1.0;1.0;0.661;0.929;0.932;0.956;0.661;0.661;0.915;1.0
transcript8_ENSECAG00000007947;0.954;0.567;0.933;0.948;0.959;0.956;1.0;1.0;0.661;0.929;0.932;0.956;0.661;0.661;0.915;1.0
transcript14_ENSECAG00000007947;0.683;0.451;0.593;0.686;0.689;0.687;0.661;0.661;1.0;0.59;0.593;0.687;1.0;1.0;0.577;0.661
transcript15_ENSECAG00000007947;0.881;0.495;0.994;0.876;0.888;0.885;0.929;0.929;0.59;1.0;0.997;0.885;0.59;0.59;0.844;0.929
transcript16_ENSECAG00000007947;0.887;0.5;1.0;0.881;0.891;0.888;0.932;0.932;0.593;0.997;1.0;0.888;0.593;0.593;0.847;0.932
transcript17_ENSECAG00000007947;1.0;0.586;0.887;0.995;0.997;1.0;0.956;0.956;0.687;0.885;0.888;1.0;0.687;0.687;0.872;0.956
transcript18_ENSECAG00000007947;0.683;0.451;0.593;0.686;0.689;0.687;0.661;0.661;1.0;0.59;0.593;0.687;1.0;1.0;0.577;0.661
transcript19_ENSECAG00000007947;0.683;0.451;0.593;0.686;0.689;0.687;0.661;0.661;1.0;0.59;0.593;0.687;1.0;1.0;0.577;0.661
transcript20_ENSECAG00000007947;0.871;0.485;0.851;0.866;0.874;0.872;0.915;0.915;0.577;0.844;0.847;0.872;0.577;0.577;1.0;0.915
transcript21_ENSECAG00000007947;0.954;0.567;0.933;0.948;0.959;0.956;1.0;1.0;0.661;0.929;0.932;0.956;0.661;0.661;0.915;1.0
