;transcript8_ENSAOCG00000015695;transcript8_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript26_ENSAOCG00000015695;transcript7_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript27_ENSAPOG00000023408;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript30_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript32_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript36_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript1_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript8_ENSAOCG00000015695;1.0;0.895;0.569;0.776;0.706;0.706;0.722;0.722;0.739;0.699;0.746;0.759;0.712;0.676;0.632;0.653;0.653;0.61;0.66;0.738;0.722;0.725;0.759;0.737;0.725
transcript8_ENSAPOG00000023408;0.895;1.0;0.538;0.792;0.722;0.722;0.738;0.738;0.754;0.717;0.739;0.776;0.684;0.692;0.649;0.669;0.669;0.625;0.677;0.755;0.738;0.749;0.776;0.706;0.749
transcript42_ENSAPOG00000023408;0.569;0.538;1.0;0.736;0.73;0.73;0.746;0.746;0.784;0.655;0.722;0.697;0.716;0.721;0.677;0.857;0.857;0.807;0.843;0.69;0.746;0.779;0.697;0.69;0.779
transcript26_ENSAOCG00000015695;0.776;0.792;0.736;1.0;0.897;0.897;0.913;0.913;0.952;0.824;0.924;0.96;0.866;0.889;0.845;0.866;0.866;0.823;0.852;0.858;0.913;0.933;0.96;0.892;0.933
transcript7_ENSAPOG00000016134;0.706;0.722;0.73;0.897;1.0;1.0;0.983;0.983;0.946;0.889;0.897;0.933;0.866;0.914;0.869;0.861;0.861;0.817;0.847;0.925;0.983;0.94;0.933;0.866;0.94
transcript7_ENSAPOG00000023408;0.706;0.722;0.73;0.897;1.0;1.0;0.983;0.983;0.946;0.889;0.897;0.933;0.866;0.914;0.869;0.861;0.861;0.817;0.847;0.925;0.983;0.94;0.933;0.866;0.94
transcript27_ENSAPOG00000016134;0.722;0.738;0.746;0.913;0.983;0.983;1.0;1.0;0.962;0.905;0.914;0.95;0.882;0.899;0.855;0.876;0.876;0.833;0.862;0.942;1.0;0.956;0.95;0.882;0.956
transcript27_ENSAPOG00000023408;0.722;0.738;0.746;0.913;0.983;0.983;1.0;1.0;0.962;0.905;0.914;0.95;0.882;0.899;0.855;0.876;0.876;0.833;0.862;0.942;1.0;0.956;0.95;0.882;0.956
transcript33_ENSAPOG00000016134;0.739;0.754;0.784;0.952;0.946;0.946;0.962;0.962;1.0;0.871;0.879;0.913;0.849;0.938;0.894;0.914;0.914;0.871;0.9;0.906;0.962;0.994;0.913;0.849;0.994
transcript35_ENSAPOG00000016134;0.699;0.717;0.655;0.824;0.889;0.889;0.905;0.905;0.871;1.0;0.819;0.855;0.787;0.809;0.765;0.786;0.786;0.742;0.772;0.847;0.905;0.865;0.855;0.787;0.865
