id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript12_ppan;null;transcript12_ptro|1.0&transcript12_hsap|0.984&transcript12_ggor|0.969;null;0
transcript19_ppan;null;transcript19_hsap|0.984&transcript19_ggor|0.976;null;0
transcript12_ptro;null;transcript12_ppan|1.0&transcript12_hsap|0.992&transcript21_hsap|0.992&transcript11_ggor|0.983&transcript17_ggor|0.983&transcript8_pabe|1.0;null;0
transcript12_hsap;null;transcript12_ppan|0.984&transcript12_ptro|0.992&transcript12_ggor|0.953;null;0
transcript19_hsap;null;transcript19_ppan|0.984&transcript19_ggor|0.96;null;0
transcript21_hsap;null;transcript12_ptro|0.992&transcript16_ggor|0.93&transcript17_ggor|0.93&transcript8_pabe|0.97;null;0
transcript11_ggor;null;transcript12_ptro|0.983;null;0
transcript12_ggor;transcript19_ggor|0.976;transcript12_ppan|0.969&transcript12_hsap|0.953;null;0
transcript16_ggor;transcript17_ggor|1.0;transcript21_hsap|0.93&transcript8_pabe|0.927;null;0
transcript17_ggor;transcript16_ggor|1.0;transcript12_ptro|0.983&transcript21_hsap|0.93&transcript8_pabe|0.927;null;0
transcript19_ggor;transcript12_ggor|0.976;transcript19_ppan|0.976&transcript19_hsap|0.96;null;0
transcript8_pabe;null;transcript12_ptro|1.0&transcript21_hsap|0.97&transcript16_ggor|0.927&transcript17_ggor|0.927;null;0
transcript20_ppan;null;transcript20_hsap|0.949;null;1
transcript20_hsap;null;transcript20_ppan|0.949;null;1
transcript18_hsap;null;null;null;2
transcript18_ggor;null;null;null;3
