;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;;0.074;0.084;0.0;0.0;0.09;0.0;0.0;0.0;0.127;0.092;0.152
ENST00000301244_90_90;0.074;;;;;;;;;0.466;0.369;0.293
ENST00000454580_90_90;0.084;;;;;;;;;0.359;0.432;0.357
ENST00000587090_90_90;0.0;;;;;;;;;0.337;0.278;0.17
ENST00000587334_90_90;0.0;;;;;;;;;0.239;0.297;0.0
ENST00000587516_90_90;0.09;;;;;;;;;0.289;0.185;0.256
ENST00000590510_90_90;0.0;;;;;;;;;0.151;0.051;0.106
ENST00000590738_90_90;0.0;;;;;;;;;0.186;0.221;0.081
ENST00000592007_90_90;0.0;;;;;;;;;0.195;0.101;0.213
ENSMUST00000098604_90_90;0.127;0.466;0.359;0.337;0.239;0.289;0.151;0.186;0.195;;;
ENSMUST00000108236_90_90;0.092;0.369;0.432;0.278;0.297;0.185;0.051;0.221;0.101;;;
ENSMUST00000207601_90_90;0.152;0.293;0.357;0.17;0.0;0.256;0.106;0.081;0.213;;;
