;id_transcript;orthoorthologues;tsm_scores
0;ENSCAFT00000025386_90_90;ENST00000389902_90_90:ENSMUST00000200607_90_90;0.9990000000000001:1.0
1;ENST00000389900_90_90;;
2;ENST00000389902_90_90;ENSCAFT00000025386_90_90:ENSMUST00000200607_90_90;0.9990000000000001:0.9990000000000001
3;ENST00000411812_90_90;ENSMUST00000200430_90_90:ENST00000416985_90_90;0.368:0.401
4;ENST00000416985_90_90;ENST00000411812_90_90:ENSMUST00000200430_90_90;0.401:0.32799999999999996
5;ENST00000425013_90_90;ENSMUST00000053498_90_90;0.9990000000000001
6;ENSMUST00000053498_90_90;ENST00000425013_90_90;0.9990000000000001
7;ENSMUST00000197296_90_90;;
8;ENSMUST00000200430_90_90;ENST00000411812_90_90:ENST00000416985_90_90;0.368:0.32799999999999996
9;ENSMUST00000200607_90_90;ENST00000389902_90_90:ENSCAFT00000025386_90_90;0.9990000000000001:1.0
