;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;1.0;0.786;0.625;0.6;0.143;0.471;0.533;0.533;0.562;0.429
ENSCAFT00000004373_90_90;0.786;1.0;0.786;0.533;0.071;0.412;0.467;0.467;0.714;0.357
ENST00000333896_90_90;0.625;0.786;1.0;0.5;0.067;0.389;0.438;0.438;0.923;0.333
ENST00000356805_90_90;0.6;0.533;0.5;1.0;0.273;0.769;0.909;0.909;0.438;0.636
ENST00000389980_90_90;0.143;0.071;0.067;0.273;1.0;0.25;0.3;0.3;0.071;0.429
ENST00000615901_90_90;0.471;0.412;0.389;0.769;0.25;1.0;0.692;0.692;0.333;0.462
ENSMUST00000006629_90_90;0.533;0.467;0.438;0.909;0.3;0.692;1.0;1.0;0.467;0.7
ENSMUST00000011877_90_90;0.533;0.467;0.438;0.909;0.3;0.692;1.0;1.0;0.467;0.7
ENSMUST00000102838_90_90;0.562;0.714;0.923;0.438;0.071;0.333;0.467;0.467;1.0;0.357
ENSMUST00000124231_90_90;0.429;0.357;0.333;0.636;0.429;0.462;0.7;0.7;0.357;1.0
