;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.925;0.925;0.659;0.659;0.244;0.15;0.22;0.659;0.167;0.195;0.195;0.05;0.488;0.591;0.1;0.075;0.125;0.651;0.674;0.667;0.667;0.442;0.025;0.3
ENSCAFT00000021597_90_90;0.925;1.0;1.0;0.591;0.591;0.263;0.162;0.237;0.591;0.179;0.211;0.211;0.054;0.419;0.634;0.108;0.081;0.135;0.659;0.683;0.718;0.718;0.405;0.027;0.324
ENSCAFT00000021600_90_90;0.925;1.0;1.0;0.591;0.591;0.263;0.162;0.237;0.591;0.179;0.211;0.211;0.054;0.419;0.634;0.108;0.081;0.135;0.659;0.683;0.718;0.718;0.405;0.027;0.324
ENST00000324432_90_90;0.659;0.591;0.591;1.0;1.0;0.333;0.182;0.303;1.0;0.235;0.235;0.235;0.061;0.727;0.909;0.121;0.091;0.152;0.641;0.667;0.658;0.658;0.486;0.03;0.324
ENST00000413936_90_90;0.659;0.591;0.591;1.0;1.0;0.333;0.182;0.303;1.0;0.235;0.235;0.235;0.061;0.727;0.909;0.121;0.091;0.152;0.641;0.667;0.658;0.658;0.486;0.03;0.324
ENST00000423646_90_90;0.244;0.263;0.263;0.333;0.333;1.0;0.545;0.909;0.333;0.0;0.667;0.667;0.182;0.061;0.367;0.364;0.273;0.455;0.312;0.303;0.323;0.323;0.435;0.091;0.769
ENST00000425780_90_90;0.15;0.162;0.162;0.182;0.182;0.545;1.0;0.6;0.182;0.0;0.667;0.667;0.333;0.0;0.2;0.667;0.5;0.833;0.194;0.188;0.2;0.2;0.273;0.167;0.5
ENST00000429179_90_90;0.22;0.237;0.237;0.303;0.303;0.909;0.6;1.0;0.303;0.0;0.727;0.727;0.2;0.03;0.333;0.4;0.3;0.5;0.281;0.273;0.29;0.29;0.391;0.1;0.692
ENST00000430490_90_90;0.659;0.591;0.591;1.0;1.0;0.333;0.182;0.303;1.0;0.235;0.235;0.235;0.061;0.727;0.909;0.121;0.091;0.152;0.641;0.667;0.658;0.658;0.486;0.03;0.324
ENST00000435251_90_90;0.167;0.179;0.179;0.235;0.235;0.0;0.0;0.0;0.235;1.0;0.0;0.0;0.0;0.32;0.258;0.0;0.0;0.0;0.176;0.206;0.219;0.219;0.107;0.0;0.0
