;ENSCAFT00000047985_90_90;ENST00000320280_90_90;ENST00000510030_90_90;ENST00000511551_90_90;ENST00000614488_90_90;ENST00000618166_90_90;ENST00000621999_90_90;ENSMUST00000022197_90_90;ENSMUST00000138255_90_90;ENSMUST00000152555_90_90;ENSMUST00000153558_90_90
ENSCAFT00000047985_90_90;1.0;0.531;0.107;0.362;0.55;0.916;1.0;1.0;0.399;0.786;0.786
ENST00000320280_90_90;0.531;1.0;0.0;0.068;0.196;0.579;0.531;0.531;0.352;0.671;0.671
ENST00000510030_90_90;0.107;0.0;1.0;0.259;0.206;0.118;0.107;0.107;0.281;0.136;0.136
ENST00000511551_90_90;0.362;0.068;0.259;1.0;0.556;0.255;0.332;0.358;0.394;0.237;0.237
ENST00000614488_90_90;0.55;0.196;0.206;0.556;1.0;0.467;0.55;0.55;0.562;0.338;0.338
ENST00000618166_90_90;0.916;0.579;0.118;0.255;0.467;1.0;0.916;0.916;0.436;0.859;0.859
ENST00000621999_90_90;1.0;0.531;0.107;0.332;0.55;0.916;1.0;1.0;0.399;0.786;0.786
ENSMUST00000022197_90_90;1.0;0.531;0.107;0.358;0.55;0.916;1.0;1.0;0.399;0.786;0.786
ENSMUST00000138255_90_90;0.399;0.352;0.281;0.394;0.562;0.436;0.399;0.399;1.0;0.516;0.516
ENSMUST00000152555_90_90;0.786;0.671;0.136;0.237;0.338;0.859;0.786;0.786;0.516;1.0;1.0
ENSMUST00000153558_90_90;0.786;0.671;0.136;0.237;0.338;0.859;0.786;0.786;0.516;1.0;1.0
