nucHom;degHom;tsm
1.0;1.0;1.0
0.471;0.75;0.611
0.408;0.25;0.329
0.471;0.75;0.611
0.453;0.5;0.477
0.471;0.75;0.611
0.471;0.75;0.611
0.989;1.0;0.994
0.989;1.0;0.994
0.989;1.0;0.994
0.989;1.0;0.994
0.989;1.0;0.994
0.471;0.75;0.611
1.0;1.0;1.0
0.791;0.333;0.562
0.963;0.833;0.898
0.877;0.5;0.689
0.934;0.857;0.895
0.932;0.75;0.841
0.46;0.6;0.53
0.458;0.571;0.514
0.46;0.6;0.53
0.455;0.556;0.506
0.453;0.5;0.477
0.408;0.25;0.329
0.791;0.333;0.562
1.0;1.0;1.0
0.821;0.4;0.611
0.901;0.667;0.784
0.738;0.286;0.512
0.737;0.25;0.493
0.363;0.2;0.281
0.416;0.4;0.408
0.363;0.2;0.281
0.359;0.111;0.235
0.41;0.25;0.33
0.471;0.75;0.611
0.963;0.833;0.898
0.821;0.4;0.611
1.0;1.0;1.0
0.91;0.6;0.755
0.9;0.714;0.807
0.898;0.625;0.762
0.443;0.5;0.472
0.466;0.667;0.567
0.443;0.5;0.472
0.438;0.444;0.441
0.461;0.6;0.53
0.453;0.5;0.477
0.877;0.5;0.689
0.901;0.667;0.784
0.91;0.6;0.755
1.0;1.0;1.0
0.819;0.429;0.624
0.817;0.375;0.596
0.403;0.3;0.352
0.461;0.6;0.53
0.403;0.3;0.352
0.398;0.222;0.31
0.456;0.5;0.478
0.471;0.75;0.611
0.934;0.857;0.895
0.738;0.286;0.512
0.9;0.714;0.807
0.819;0.429;0.624
1.0;1.0;1.0
0.998;0.875;0.936
0.492;0.7;0.596
0.442;0.5;0.471
0.492;0.7;0.596
0.487;0.667;0.577
0.437;0.429;0.433
0.471;0.75;0.611
0.932;0.75;0.841
0.737;0.25;0.493
0.898;0.625;0.762
0.817;0.375;0.596
0.998;0.875;0.936
1.0;1.0;1.0
0.493;0.8;0.647
0.442;0.444;0.443
0.493;0.8;0.647
0.489;0.778;0.633
0.437;0.375;0.406
0.989;1.0;0.994
0.46;0.6;0.53
0.363;0.2;0.281
0.443;0.5;0.472
0.403;0.3;0.352
0.492;0.7;0.596
0.493;0.8;0.647
1.0;1.0;1.0
0.874;0.5;0.687
1.0;1.0;1.0
0.995;1.0;0.998
0.869;0.444;0.656
0.989;1.0;0.994
0.458;0.571;0.514
0.416;0.4;0.408
0.466;0.667;0.567
0.461;0.6;0.53
0.442;0.5;0.471
0.442;0.444;0.443
0.874;0.5;0.687
1.0;1.0;1.0
0.874;0.5;0.687
0.869;0.444;0.656
0.994;1.0;0.997
0.989;1.0;0.994
0.46;0.6;0.53
0.363;0.2;0.281
0.443;0.5;0.472
0.403;0.3;0.352
0.492;0.7;0.596
0.493;0.8;0.647
1.0;1.0;1.0
0.874;0.5;0.687
1.0;1.0;1.0
0.995;1.0;0.998
0.869;0.444;0.656
0.989;1.0;0.994
0.455;0.556;0.506
0.359;0.111;0.235
0.438;0.444;0.441
0.398;0.222;0.31
0.487;0.667;0.577
0.489;0.778;0.633
0.995;1.0;0.998
0.869;0.444;0.656
0.995;1.0;0.998
1.0;1.0;1.0
0.874;0.5;0.687
0.989;1.0;0.994
0.453;0.5;0.477
0.41;0.25;0.33
0.461;0.6;0.53
0.456;0.5;0.478
0.437;0.429;0.433
0.437;0.375;0.406
0.869;0.444;0.656
0.994;1.0;0.997
0.869;0.444;0.656
0.874;0.5;0.687
1.0;1.0;1.0
