;ENSCAFT00000025827_90_90;ENST00000254322_90_90;ENST00000396969_90_90;ENST00000594099_90_90;ENST00000595139_90_90;ENST00000595992_90_90;ENST00000596075_90_90;ENST00000596853_90_90;ENST00000598235_90_90;ENST00000598692_90_90;ENST00000601533_90_90;ENSMUST00000005620_90_90;ENSMUST00000212300_90_90
ENSCAFT00000025827_90_90;1.0;0.996;0.706;0.316;0.461;0.341;0.234;0.343;0.539;0.236;0.268;0.996;0.706
ENST00000254322_90_90;0.996;1.0;0.706;0.316;0.464;0.341;0.234;0.343;0.539;0.236;0.268;0.998;0.706
ENST00000396969_90_90;0.706;0.706;1.0;0.447;0.475;0.483;0.332;0.486;0.764;0.335;0.379;0.706;1.0
ENST00000594099_90_90;0.316;0.316;0.447;1.0;0.66;0.925;0.742;0.92;0.585;0.748;0.848;0.316;0.447
ENST00000595139_90_90;0.461;0.464;0.475;0.66;1.0;0.713;0.49;0.717;0.599;0.494;0.559;0.463;0.475
ENST00000595992_90_90;0.341;0.341;0.483;0.925;0.713;1.0;0.687;0.994;0.633;0.693;0.784;0.341;0.483
ENST00000596075_90_90;0.234;0.234;0.332;0.742;0.49;0.687;1.0;0.683;0.435;0.992;0.875;0.234;0.332
ENST00000596853_90_90;0.343;0.343;0.486;0.92;0.717;0.994;0.683;1.0;0.636;0.689;0.78;0.343;0.486
ENST00000598235_90_90;0.539;0.539;0.764;0.585;0.599;0.633;0.435;0.636;1.0;0.438;0.496;0.539;0.764
ENST00000598692_90_90;0.236;0.236;0.335;0.748;0.494;0.693;0.992;0.689;0.438;1.0;0.883;0.236;0.335
ENST00000601533_90_90;0.268;0.268;0.379;0.848;0.559;0.784;0.875;0.78;0.496;0.883;1.0;0.268;0.379
ENSMUST00000005620_90_90;0.996;0.998;0.706;0.316;0.463;0.341;0.234;0.343;0.539;0.236;0.268;1.0;0.706
ENSMUST00000212300_90_90;0.706;0.706;1.0;0.447;0.475;0.483;0.332;0.486;0.764;0.335;0.379;0.706;1.0
