;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;1.0;0.615;0.762;0.832;0.728;0.043;0.865;0.76;0.76;0.111;0.23;0.323;0.043
ENSCAFT00000013564_90_90;0.615;1.0;0.61;0.582;0.589;0.141;0.567;0.574;0.574;0.141;0.282;0.407;0.141
ENST00000233330_90_90;0.762;0.61;1.0;0.789;0.8;0.06;0.762;0.773;0.773;0.143;0.218;0.415;0.06
ENST00000272430_90_90;0.832;0.582;0.789;1.0;0.805;0.044;0.961;0.781;0.781;0.114;0.284;0.332;0.044
ENST00000305557_90_90;0.728;0.589;0.8;0.805;1.0;0.044;0.781;0.891;0.891;0.116;0.287;0.337;0.044
ENST00000640304_90_90;0.043;0.141;0.06;0.044;0.044;1.0;0.043;0.043;0.043;0.0;0.0;0.0;1.0
ENSMUST00000065512_90_90;0.865;0.567;0.762;0.961;0.781;0.043;1.0;0.815;0.815;0.111;0.273;0.323;0.043
ENSMUST00000087938_90_90;0.76;0.574;0.773;0.781;0.891;0.043;0.815;1.0;1.0;0.113;0.275;0.327;0.043
ENSMUST00000121093_90_90;0.76;0.574;0.773;0.781;0.891;0.043;0.815;1.0;1.0;0.113;0.275;0.327;0.043
ENSMUST00000129316_90_90;0.111;0.141;0.143;0.114;0.116;0.0;0.111;0.113;0.113;1.0;0.289;0.343;0.0
ENSMUST00000130622_90_90;0.23;0.282;0.218;0.284;0.287;0.0;0.273;0.275;0.275;0.289;1.0;0.411;0.0
ENSMUST00000135490_90_90;0.323;0.407;0.415;0.332;0.337;0.0;0.323;0.327;0.327;0.343;0.411;1.0;0.0
ENSMUST00000213056_90_90;0.043;0.141;0.06;0.044;0.044;1.0;0.043;0.043;0.043;0.0;0.0;0.0;1.0
