id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript38_ENSPEMG00000024651;transcript19_ENSPEMG00000024651|1.0;transcript40_ENSRNOG00000031503|0.8&transcript7_ENSSTOG00000019743|0.869&transcript32_ENSSTOG00000019743|0.869;null;0
transcript40_ENSRNOG00000031503;null;transcript38_ENSPEMG00000024651|0.8&transcript25_ENSSTOG00000019743|0.896&transcript19_ENSPEMG00000024651|0.8;null;0
transcript25_ENSSTOG00000019743;transcript7_ENSSTOG00000019743|1.0&transcript32_ENSSTOG00000019743|1.0;transcript40_ENSRNOG00000031503|0.896&transcript19_ENSPEMG00000024651|0.869;null;0
transcript7_ENSSTOG00000019743;transcript25_ENSSTOG00000019743|1.0&transcript32_ENSSTOG00000019743|1.0;transcript38_ENSPEMG00000024651|0.869;null;0
transcript32_ENSSTOG00000019743;transcript25_ENSSTOG00000019743|1.0&transcript7_ENSSTOG00000019743|1.0;transcript38_ENSPEMG00000024651|0.869;null;0
transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651|1.0;transcript40_ENSRNOG00000031503|0.8&transcript25_ENSSTOG00000019743|0.869;null;0
transcript47_ENSPEMG00000024651;null;transcript47_ENSRNOG00000031503|0.772&transcript47_ENSMUGG00000013649|0.865;null;1
transcript47_ENSRNOG00000031503;null;transcript47_ENSPEMG00000024651|0.772&transcript47_ENSMUGG00000013649|0.886;null;1
transcript47_ENSMUGG00000013649;null;transcript47_ENSPEMG00000024651|0.865&transcript47_ENSRNOG00000031503|0.886;null;1
transcript24_ENSSTOG00000019743;null;transcript20_ENSMUGG00000013649|0.971&transcript20_ENSMUGG00000013592|0.949&transcript27_ENSNGAG00000018584|0.799;null;2
transcript20_ENSMUGG00000013649;null;transcript24_ENSSTOG00000019743|0.971&transcript27_ENSNGAG00000018584|0.775;transcript20_ENSMUGG00000013592|0.978;2
transcript20_ENSMUGG00000013592;null;transcript24_ENSSTOG00000019743|0.949&transcript27_ENSNGAG00000018584|0.753;transcript20_ENSMUGG00000013649|0.978;2
transcript27_ENSNGAG00000018584;null;transcript24_ENSSTOG00000019743|0.799&transcript20_ENSMUGG00000013649|0.775&transcript20_ENSMUGG00000013592|0.753;null;2
